Manufacturer, Model, Power (W), Certification, Price
AQIRYS,Allow,1000 W,80 Plus Titanium,454.05 RON
Seasonic,Lay,550 W,80 Plus Platinum,977.7 RON
Seasonic,Similar,500 W,80 Plus Titanium,274.35 RON
Thermaltake,Because,750 W,80 Plus Titanium,720.73 RON
be quiet!,Prove,1000 W,80 Plus Gold,754.57 RON
Thermaltake,Prove,500 W,80 Plus Platinum,935.78 RON
Seasonic,Method,2000 W,80 Plus Gold,188.09 RON
Corsair,Home,500 W,80 Plus Titanium,850.62 RON
GIGABYTE,Country,1500 W,80 Plus Titanium,858.43 RON
Seasonic,Cold,2000 W,80 Plus Bronze,848.45 RON
GIGABYTE,Amount,1000 W,80 Plus Gold,482.04 RON
AQIRYS,Thought,2000 W,80 Plus Platinum,556.94 RON
Thermaltake,Owner,500 W,80 Plus Silver,845.6 RON
Cooler Master,Morning,750 W,80 Plus Platinum,130.62 RON
be quiet!,Present,550 W,80 Plus Gold,461.82 RON
GIGABYTE,Wish,750 W,80 Plus Titanium,594.76 RON
be quiet!,Talk,650 W,80 Plus Silver,952.71 RON
AQIRYS,Certain,650 W,80 Plus Titanium,225.61 RON
be quiet!,Image,750 W,80 Plus Platinum,439.98 RON
Cooler Master,Model,750 W,80 Plus Gold,376.31 RON
GIGABYTE,On,1000 W,80 Plus Silver,309.21 RON
GIGABYTE,History,2000 W,80 Plus Titanium,723.99 RON
Thermaltake,Yeah,850 W,80 Plus Titanium,193.52 RON
Thermaltake,Choose,750 W,80 Plus Silver,545.65 RON
AQIRYS,Far,600 W,80 Plus Platinum,128.86 RON
Seasonic,National,1500 W,80 Plus Gold,893.81 RON
Corsair,Represent,1200 W,80 Plus Silver,668.76 RON
Seasonic,Here,750 W,80 Plus Gold,630.15 RON
GIGABYTE,Piece,1200 W,80 Plus Titanium,314.18 RON
Seasonic,Live,750 W,80 Plus Bronze,871.81 RON
AQIRYS,Grow,500 W,80 Plus Gold,380.57 RON
Corsair,Action,1500 W,80 Plus Gold,486.41 RON
be quiet!,Recognize,1000 W,80 Plus Gold,343.62 RON
GIGABYTE,Family,550 W,80 Plus Platinum,660.52 RON
Corsair,Degree,600 W,80 Plus Titanium,638.45 RON
be quiet!,Daughter,850 W,80 Plus Silver,274.97 RON
Corsair,Close,550 W,80 Plus Gold,670.24 RON
Cooler Master,Memory,850 W,80 Plus Titanium,936.32 RON
GIGABYTE,Save,500 W,80 Plus Titanium,173.45 RON
Corsair,Voice,750 W,80 Plus Platinum,702.71 RON
be quiet!,Price,750 W,80 Plus Bronze,522.92 RON
GIGABYTE,Property,650 W,80 Plus Bronze,652.0 RON
be quiet!,Relationship,1200 W,80 Plus Titanium,717.54 RON
Cooler Master,Firm,650 W,80 Plus Titanium,112.0 RON
Corsair,Source,650 W,80 Plus Gold,429.92 RON
Cooler Master,Fight,2000 W,80 Plus Bronze,622.78 RON
Thermaltake,Require,750 W,80 Plus Bronze,490.77 RON
be quiet!,Involve,750 W,80 Plus Silver,829.52 RON
Seasonic,Stay,1200 W,80 Plus Silver,589.02 RON
Corsair,Home,500 W,80 Plus Gold,258.66 RON
Corsair,Stuff,1500 W,80 Plus Titanium,400.98 RON
AQIRYS,Foot,1200 W,80 Plus Bronze,989.8 RON
AQIRYS,Size,1200 W,80 Plus Platinum,409.36 RON
AQIRYS,National,1500 W,80 Plus Gold,501.28 RON
AQIRYS,Summer,650 W,80 Plus Silver,369.78 RON
Seasonic,Factor,600 W,80 Plus Bronze,851.25 RON
Seasonic,Appear,550 W,80 Plus Bronze,302.33 RON
be quiet!,Election,500 W,80 Plus Silver,975.28 RON
Corsair,Pm,2000 W,80 Plus Titanium,628.25 RON
Cooler Master,Month,650 W,80 Plus Titanium,909.28 RON
Cooler Master,Price,650 W,80 Plus Silver,107.33 RON
Thermaltake,Second,1200 W,80 Plus Silver,664.96 RON
GIGABYTE,Different,1500 W,80 Plus Silver,967.16 RON
AQIRYS,Huge,1500 W,80 Plus Bronze,783.12 RON
Corsair,Such,1000 W,80 Plus Gold,767.28 RON
Corsair,Born,650 W,80 Plus Gold,612.73 RON
Cooler Master,More,1200 W,80 Plus Bronze,141.86 RON
AQIRYS,Pay,750 W,80 Plus Titanium,975.16 RON
Cooler Master,Up,1000 W,80 Plus Gold,593.33 RON
AQIRYS,With,500 W,80 Plus Platinum,455.71 RON
Seasonic,Only,2000 W,80 Plus Gold,211.56 RON
AQIRYS,Own,600 W,80 Plus Titanium,629.36 RON
Seasonic,Government,650 W,80 Plus Bronze,184.53 RON
Seasonic,Between,750 W,80 Plus Gold,304.54 RON
be quiet!,Hand,650 W,80 Plus Bronze,872.55 RON
AQIRYS,Soldier,600 W,80 Plus Titanium,510.16 RON
Corsair,Health,1500 W,80 Plus Platinum,760.42 RON
Corsair,Stock,600 W,80 Plus Platinum,579.02 RON
Corsair,Enjoy,600 W,80 Plus Silver,388.09 RON
GIGABYTE,Entire,1200 W,80 Plus Titanium,118.42 RON
AQIRYS,When,1200 W,80 Plus Gold,763.9 RON
be quiet!,Dream,850 W,80 Plus Gold,259.36 RON
GIGABYTE,Trouble,600 W,80 Plus Titanium,589.46 RON
Corsair,Face,1500 W,80 Plus Titanium,508.49 RON
GIGABYTE,Hand,550 W,80 Plus Bronze,347.97 RON
Corsair,Investment,1200 W,80 Plus Bronze,200.54 RON
Thermaltake,Generation,1500 W,80 Plus Platinum,721.78 RON
Corsair,Reflect,1000 W,80 Plus Titanium,552.03 RON
AQIRYS,Much,600 W,80 Plus Gold,172.62 RON
AQIRYS,Rich,500 W,80 Plus Titanium,356.53 RON
Thermaltake,Here,1500 W,80 Plus Bronze,808.37 RON
Thermaltake,Decide,550 W,80 Plus Titanium,621.75 RON
GIGABYTE,Technology,1000 W,80 Plus Bronze,800.3 RON
GIGABYTE,Break,650 W,80 Plus Gold,879.77 RON
be quiet!,It,1500 W,80 Plus Silver,258.68 RON
be quiet!,Meet,550 W,80 Plus Platinum,116.13 RON
GIGABYTE,Better,2000 W,80 Plus Titanium,270.65 RON
be quiet!,Result,1200 W,80 Plus Gold,741.35 RON
be quiet!,Focus,1500 W,80 Plus Titanium,379.73 RON
Cooler Master,Music,1000 W,80 Plus Bronze,775.35 RON
Thermaltake,Possible,650 W,80 Plus Platinum,727.52 RON
be quiet!,Mission,2000 W,80 Plus Silver,253.98 RON
GIGABYTE,Hospital,1500 W,80 Plus Silver,209.96 RON
Thermaltake,Company,1000 W,80 Plus Silver,389.31 RON
AQIRYS,Treat,600 W,80 Plus Bronze,312.95 RON
Seasonic,During,650 W,80 Plus Gold,370.44 RON
Cooler Master,Community,1000 W,80 Plus Bronze,969.18 RON
Cooler Master,Buy,2000 W,80 Plus Titanium,138.23 RON
GIGABYTE,Question,500 W,80 Plus Gold,204.49 RON
Cooler Master,Woman,1500 W,80 Plus Gold,415.07 RON
GIGABYTE,Glass,600 W,80 Plus Gold,510.49 RON
be quiet!,Cause,500 W,80 Plus Silver,883.8 RON
Corsair,People,2000 W,80 Plus Platinum,304.22 RON
Seasonic,Realize,850 W,80 Plus Silver,526.93 RON
be quiet!,Left,500 W,80 Plus Titanium,240.74 RON
Seasonic,These,1000 W,80 Plus Bronze,846.03 RON
Cooler Master,Fund,2000 W,80 Plus Bronze,286.55 RON
Cooler Master,He,750 W,80 Plus Titanium,688.51 RON
Seasonic,Like,550 W,80 Plus Bronze,378.35 RON
be quiet!,Couple,500 W,80 Plus Gold,355.33 RON
Seasonic,Make,550 W,80 Plus Bronze,503.98 RON
AQIRYS,Become,1000 W,80 Plus Gold,859.0 RON
AQIRYS,Your,750 W,80 Plus Platinum,787.84 RON
Cooler Master,Investment,550 W,80 Plus Bronze,391.01 RON
GIGABYTE,View,1200 W,80 Plus Platinum,979.81 RON
Thermaltake,Write,550 W,80 Plus Silver,411.05 RON
AQIRYS,Number,1500 W,80 Plus Platinum,275.72 RON
Thermaltake,Just,1000 W,80 Plus Titanium,172.61 RON
Seasonic,Education,1500 W,80 Plus Platinum,210.63 RON
Thermaltake,Care,1000 W,80 Plus Silver,895.75 RON
Thermaltake,So,850 W,80 Plus Silver,650.06 RON
be quiet!,Various,2000 W,80 Plus Gold,120.4 RON
Corsair,These,850 W,80 Plus Gold,857.83 RON
be quiet!,Also,1000 W,80 Plus Platinum,864.84 RON
Corsair,Example,1200 W,80 Plus Silver,544.94 RON
be quiet!,Need,600 W,80 Plus Platinum,405.46 RON
AQIRYS,Teach,750 W,80 Plus Silver,374.88 RON
Thermaltake,Hour,1500 W,80 Plus Titanium,848.11 RON
Cooler Master,Forward,750 W,80 Plus Titanium,515.14 RON
be quiet!,Born,600 W,80 Plus Gold,954.38 RON
be quiet!,Something,1200 W,80 Plus Silver,215.91 RON
Thermaltake,Coach,1000 W,80 Plus Silver,452.41 RON
Thermaltake,Attention,850 W,80 Plus Bronze,619.47 RON
AQIRYS,Blood,850 W,80 Plus Bronze,452.67 RON
Thermaltake,Much,650 W,80 Plus Titanium,340.3 RON
AQIRYS,Experience,1500 W,80 Plus Bronze,243.69 RON
Corsair,Memory,1000 W,80 Plus Titanium,507.37 RON
Seasonic,Myself,750 W,80 Plus Titanium,561.98 RON
Thermaltake,Ten,500 W,80 Plus Titanium,875.36 RON
Seasonic,Choice,850 W,80 Plus Titanium,300.12 RON
Seasonic,Rise,650 W,80 Plus Bronze,486.48 RON
Seasonic,Religious,750 W,80 Plus Titanium,977.43 RON
AQIRYS,Shoulder,1200 W,80 Plus Platinum,171.55 RON
be quiet!,Huge,1500 W,80 Plus Silver,663.33 RON
AQIRYS,Land,650 W,80 Plus Platinum,876.74 RON
be quiet!,Option,1000 W,80 Plus Platinum,512.97 RON
Cooler Master,Food,600 W,80 Plus Platinum,372.69 RON
Thermaltake,Economic,2000 W,80 Plus Bronze,356.31 RON
Seasonic,Very,1500 W,80 Plus Titanium,972.21 RON
Cooler Master,Author,850 W,80 Plus Silver,214.45 RON
AQIRYS,Discover,850 W,80 Plus Platinum,718.18 RON
GIGABYTE,Player,500 W,80 Plus Silver,258.99 RON
be quiet!,Speech,850 W,80 Plus Titanium,389.06 RON
Seasonic,Reason,850 W,80 Plus Titanium,686.27 RON
Corsair,End,1200 W,80 Plus Platinum,135.25 RON
be quiet!,These,750 W,80 Plus Platinum,183.29 RON
be quiet!,Notice,1200 W,80 Plus Silver,387.72 RON
Seasonic,Red,2000 W,80 Plus Silver,986.15 RON
be quiet!,Store,850 W,80 Plus Gold,723.49 RON
be quiet!,Wide,750 W,80 Plus Bronze,816.29 RON
AQIRYS,Down,1200 W,80 Plus Bronze,280.18 RON
Cooler Master,Send,600 W,80 Plus Platinum,840.43 RON
Thermaltake,Financial,1200 W,80 Plus Silver,100.18 RON
Corsair,Final,500 W,80 Plus Gold,941.83 RON
Thermaltake,Good,850 W,80 Plus Gold,590.34 RON
Thermaltake,Fear,1500 W,80 Plus Silver,544.06 RON
Seasonic,Data,600 W,80 Plus Gold,106.16 RON
GIGABYTE,Protect,850 W,80 Plus Silver,468.77 RON
GIGABYTE,Pay,1000 W,80 Plus Platinum,214.27 RON
Corsair,Fine,550 W,80 Plus Silver,485.4 RON
Cooler Master,Ground,2000 W,80 Plus Bronze,577.85 RON
be quiet!,Only,600 W,80 Plus Titanium,636.91 RON
Thermaltake,Cultural,600 W,80 Plus Bronze,522.88 RON
GIGABYTE,Politics,500 W,80 Plus Bronze,953.33 RON
be quiet!,Goal,500 W,80 Plus Bronze,548.46 RON
be quiet!,Quality,1500 W,80 Plus Gold,373.18 RON
Seasonic,Society,2000 W,80 Plus Titanium,827.91 RON
GIGABYTE,Detail,600 W,80 Plus Platinum,958.52 RON
Seasonic,Lose,1500 W,80 Plus Platinum,814.21 RON
be quiet!,Kid,650 W,80 Plus Gold,708.28 RON
Thermaltake,Official,850 W,80 Plus Silver,397.61 RON
AQIRYS,Interview,2000 W,80 Plus Silver,694.89 RON
GIGABYTE,Yes,1000 W,80 Plus Bronze,196.72 RON
Thermaltake,Country,2000 W,80 Plus Gold,141.96 RON
be quiet!,Gas,500 W,80 Plus Bronze,288.86 RON
Corsair,Story,600 W,80 Plus Titanium,780.53 RON
GIGABYTE,Author,650 W,80 Plus Bronze,291.02 RON
Cooler Master,Because,1000 W,80 Plus Silver,559.27 RON
GIGABYTE,Resource,1500 W,80 Plus Silver,295.58 RON
Thermaltake,Message,750 W,80 Plus Silver,181.6 RON
GIGABYTE,Than,500 W,80 Plus Titanium,747.54 RON
AQIRYS,Nation,750 W,80 Plus Titanium,548.57 RON
be quiet!,Indicate,1500 W,80 Plus Bronze,717.01 RON
Cooler Master,Language,500 W,80 Plus Gold,325.18 RON
Seasonic,Impact,1000 W,80 Plus Bronze,263.05 RON
Cooler Master,Check,600 W,80 Plus Titanium,492.94 RON
be quiet!,Occur,500 W,80 Plus Silver,861.12 RON
AQIRYS,Until,500 W,80 Plus Gold,889.41 RON
Thermaltake,Any,550 W,80 Plus Platinum,534.97 RON
GIGABYTE,Protect,1200 W,80 Plus Platinum,493.15 RON
Corsair,Interest,1200 W,80 Plus Bronze,204.66 RON
be quiet!,Edge,2000 W,80 Plus Silver,798.62 RON
Thermaltake,Continue,500 W,80 Plus Titanium,780.46 RON
GIGABYTE,Notice,600 W,80 Plus Platinum,959.56 RON
Seasonic,Per,750 W,80 Plus Platinum,244.96 RON
Corsair,Friend,550 W,80 Plus Bronze,912.39 RON
be quiet!,Mention,750 W,80 Plus Titanium,451.64 RON
GIGABYTE,Meet,850 W,80 Plus Platinum,694.33 RON
be quiet!,Land,550 W,80 Plus Silver,614.19 RON
AQIRYS,Evening,500 W,80 Plus Silver,420.73 RON
Corsair,Report,750 W,80 Plus Titanium,700.06 RON
AQIRYS,Large,2000 W,80 Plus Silver,808.38 RON
Corsair,Song,1000 W,80 Plus Platinum,890.14 RON
be quiet!,Probably,850 W,80 Plus Bronze,718.72 RON
Cooler Master,Certain,1000 W,80 Plus Silver,717.29 RON
Seasonic,Hour,550 W,80 Plus Bronze,623.93 RON
be quiet!,Charge,600 W,80 Plus Titanium,585.71 RON
be quiet!,Provide,550 W,80 Plus Bronze,998.83 RON
Cooler Master,Car,550 W,80 Plus Bronze,477.02 RON
be quiet!,Position,550 W,80 Plus Bronze,873.39 RON
GIGABYTE,Throughout,600 W,80 Plus Gold,771.37 RON
AQIRYS,As,750 W,80 Plus Silver,776.96 RON
be quiet!,Group,1200 W,80 Plus Platinum,319.72 RON
AQIRYS,Evidence,500 W,80 Plus Gold,665.3 RON
Corsair,Pretty,550 W,80 Plus Platinum,382.34 RON
Cooler Master,Occur,2000 W,80 Plus Gold,990.12 RON
Thermaltake,When,600 W,80 Plus Bronze,635.86 RON
be quiet!,Police,500 W,80 Plus Platinum,717.2 RON
Corsair,Push,1200 W,80 Plus Gold,452.21 RON
Seasonic,Behind,500 W,80 Plus Gold,283.97 RON
Corsair,Gas,550 W,80 Plus Platinum,947.18 RON
GIGABYTE,Single,650 W,80 Plus Gold,798.18 RON
GIGABYTE,Available,1000 W,80 Plus Bronze,164.65 RON
Cooler Master,Go,750 W,80 Plus Silver,346.87 RON
Seasonic,Not,550 W,80 Plus Silver,783.59 RON
Cooler Master,Learn,2000 W,80 Plus Titanium,518.38 RON
GIGABYTE,Need,650 W,80 Plus Silver,276.38 RON
GIGABYTE,Edge,600 W,80 Plus Titanium,467.35 RON
GIGABYTE,Grow,850 W,80 Plus Platinum,579.0 RON
Seasonic,Those,600 W,80 Plus Gold,320.67 RON
Thermaltake,Voice,650 W,80 Plus Bronze,262.33 RON
AQIRYS,Man,500 W,80 Plus Bronze,402.93 RON
GIGABYTE,Morning,850 W,80 Plus Titanium,742.04 RON
Thermaltake,Put,500 W,80 Plus Silver,775.68 RON
Cooler Master,Want,2000 W,80 Plus Silver,734.0 RON
Cooler Master,Few,500 W,80 Plus Bronze,234.02 RON
AQIRYS,Particularly,2000 W,80 Plus Silver,287.13 RON
Thermaltake,Young,1200 W,80 Plus Bronze,805.91 RON
Thermaltake,Put,1200 W,80 Plus Bronze,698.88 RON
GIGABYTE,Old,850 W,80 Plus Bronze,897.75 RON
Thermaltake,Chair,550 W,80 Plus Titanium,342.73 RON
Cooler Master,Tend,2000 W,80 Plus Titanium,688.03 RON
Cooler Master,Answer,1000 W,80 Plus Bronze,272.83 RON
be quiet!,Court,750 W,80 Plus Bronze,635.67 RON
Thermaltake,See,750 W,80 Plus Silver,835.09 RON
Cooler Master,Ok,600 W,80 Plus Bronze,308.64 RON
be quiet!,Site,1500 W,80 Plus Bronze,277.17 RON
GIGABYTE,Sometimes,600 W,80 Plus Gold,591.8 RON
be quiet!,Talk,850 W,80 Plus Gold,522.67 RON
Cooler Master,Science,1000 W,80 Plus Gold,999.58 RON
AQIRYS,Act,650 W,80 Plus Silver,145.53 RON
Corsair,Claim,600 W,80 Plus Titanium,260.99 RON
GIGABYTE,Young,750 W,80 Plus Platinum,684.85 RON
Cooler Master,Ten,1500 W,80 Plus Bronze,747.23 RON
Corsair,No,2000 W,80 Plus Silver,854.94 RON
Thermaltake,And,2000 W,80 Plus Platinum,125.53 RON
Thermaltake,Trouble,1000 W,80 Plus Gold,985.07 RON
Seasonic,Space,1200 W,80 Plus Gold,680.98 RON
GIGABYTE,Kid,600 W,80 Plus Titanium,976.34 RON
Thermaltake,Hour,750 W,80 Plus Gold,756.87 RON
Seasonic,Top,500 W,80 Plus Gold,439.91 RON
AQIRYS,Another,550 W,80 Plus Bronze,973.37 RON
Corsair,Mrs,750 W,80 Plus Titanium,843.0 RON
Cooler Master,Want,650 W,80 Plus Bronze,967.69 RON
Cooler Master,Music,500 W,80 Plus Platinum,741.86 RON
Thermaltake,Feel,1000 W,80 Plus Platinum,404.99 RON
AQIRYS,Follow,600 W,80 Plus Platinum,678.7 RON
Corsair,Firm,500 W,80 Plus Bronze,759.81 RON
be quiet!,Movement,1200 W,80 Plus Platinum,313.08 RON
Thermaltake,Career,750 W,80 Plus Gold,380.49 RON
be quiet!,Watch,850 W,80 Plus Gold,781.33 RON
AQIRYS,Effect,850 W,80 Plus Bronze,228.93 RON
Corsair,Class,1200 W,80 Plus Gold,304.62 RON
Cooler Master,Behavior,750 W,80 Plus Titanium,672.11 RON
AQIRYS,Partner,1500 W,80 Plus Titanium,137.66 RON
Corsair,Trip,650 W,80 Plus Titanium,425.33 RON
be quiet!,Relationship,1000 W,80 Plus Bronze,887.99 RON
AQIRYS,Left,850 W,80 Plus Titanium,611.18 RON
Cooler Master,Direction,2000 W,80 Plus Silver,947.71 RON
AQIRYS,Then,750 W,80 Plus Titanium,863.9 RON
GIGABYTE,Happy,1000 W,80 Plus Platinum,131.06 RON
Corsair,Model,2000 W,80 Plus Platinum,334.09 RON
Corsair,Wait,650 W,80 Plus Gold,555.88 RON
GIGABYTE,Speech,500 W,80 Plus Platinum,499.78 RON
GIGABYTE,Even,2000 W,80 Plus Titanium,477.67 RON
GIGABYTE,Life,1200 W,80 Plus Bronze,989.54 RON
Thermaltake,Serve,600 W,80 Plus Titanium,196.96 RON
GIGABYTE,Culture,1200 W,80 Plus Titanium,618.79 RON
Thermaltake,Attention,550 W,80 Plus Titanium,550.59 RON
Seasonic,Campaign,850 W,80 Plus Titanium,603.14 RON
be quiet!,School,600 W,80 Plus Gold,523.02 RON
Cooler Master,Town,1500 W,80 Plus Platinum,471.56 RON
Cooler Master,Few,1000 W,80 Plus Silver,414.0 RON
Thermaltake,Truth,1000 W,80 Plus Platinum,115.27 RON
Thermaltake,Including,650 W,80 Plus Silver,138.5 RON
GIGABYTE,Girl,550 W,80 Plus Platinum,200.53 RON
Thermaltake,Money,1500 W,80 Plus Gold,290.65 RON
be quiet!,Six,550 W,80 Plus Silver,511.29 RON
be quiet!,Situation,1200 W,80 Plus Gold,890.35 RON
Corsair,Management,650 W,80 Plus Platinum,769.46 RON
be quiet!,Trouble,1000 W,80 Plus Titanium,640.59 RON
be quiet!,Maintain,1000 W,80 Plus Silver,390.97 RON
Corsair,Different,1000 W,80 Plus Gold,563.73 RON
Thermaltake,These,750 W,80 Plus Platinum,203.13 RON
Seasonic,Environment,2000 W,80 Plus Platinum,200.15 RON
be quiet!,Congress,1200 W,80 Plus Gold,450.59 RON
AQIRYS,National,650 W,80 Plus Gold,542.15 RON
Thermaltake,Resource,550 W,80 Plus Silver,268.26 RON
AQIRYS,Account,1200 W,80 Plus Gold,864.72 RON
Thermaltake,Scene,1500 W,80 Plus Gold,828.62 RON
Cooler Master,Until,1000 W,80 Plus Platinum,122.84 RON
be quiet!,Hundred,1200 W,80 Plus Bronze,568.19 RON
AQIRYS,Five,850 W,80 Plus Bronze,941.22 RON
AQIRYS,Base,650 W,80 Plus Titanium,242.79 RON
Thermaltake,Know,1000 W,80 Plus Silver,672.68 RON
Cooler Master,Door,600 W,80 Plus Bronze,117.84 RON
Thermaltake,Star,1500 W,80 Plus Platinum,474.72 RON
AQIRYS,Professional,650 W,80 Plus Titanium,381.36 RON
Corsair,Trial,550 W,80 Plus Gold,550.98 RON
Seasonic,Affect,1500 W,80 Plus Gold,314.74 RON
be quiet!,Forget,550 W,80 Plus Silver,267.62 RON
GIGABYTE,Later,500 W,80 Plus Silver,208.68 RON
be quiet!,Partner,2000 W,80 Plus Titanium,352.52 RON
Cooler Master,Summer,1500 W,80 Plus Silver,377.17 RON
Cooler Master,While,500 W,80 Plus Platinum,212.33 RON
Corsair,Resource,650 W,80 Plus Gold,823.55 RON
Corsair,Here,650 W,80 Plus Bronze,877.3 RON
AQIRYS,Arm,2000 W,80 Plus Silver,928.99 RON
Corsair,Science,2000 W,80 Plus Silver,971.79 RON
AQIRYS,But,500 W,80 Plus Silver,847.65 RON
Thermaltake,Final,750 W,80 Plus Bronze,758.21 RON
Cooler Master,Everything,1500 W,80 Plus Silver,294.65 RON
Cooler Master,Body,1000 W,80 Plus Gold,190.45 RON
GIGABYTE,Music,500 W,80 Plus Titanium,781.33 RON
be quiet!,Behavior,850 W,80 Plus Bronze,558.1 RON
Seasonic,Media,650 W,80 Plus Bronze,580.33 RON
Seasonic,Behind,2000 W,80 Plus Platinum,684.68 RON
be quiet!,Environment,500 W,80 Plus Bronze,224.29 RON
Corsair,Respond,500 W,80 Plus Bronze,887.67 RON
Corsair,Tree,600 W,80 Plus Bronze,728.39 RON
Cooler Master,Power,2000 W,80 Plus Titanium,307.44 RON
Seasonic,Eye,650 W,80 Plus Gold,790.51 RON
GIGABYTE,Bring,1000 W,80 Plus Gold,508.12 RON
Thermaltake,Beautiful,1500 W,80 Plus Bronze,976.12 RON
Thermaltake,Play,650 W,80 Plus Platinum,123.3 RON
be quiet!,All,1500 W,80 Plus Gold,886.23 RON
Corsair,Close,1000 W,80 Plus Silver,375.03 RON
Thermaltake,Service,1000 W,80 Plus Bronze,841.92 RON
Seasonic,Nearly,750 W,80 Plus Gold,417.08 RON
be quiet!,Few,2000 W,80 Plus Bronze,691.31 RON
Seasonic,Last,1000 W,80 Plus Gold,131.51 RON
Thermaltake,Give,1500 W,80 Plus Bronze,988.6 RON
be quiet!,Represent,1200 W,80 Plus Titanium,980.87 RON
Thermaltake,Every,600 W,80 Plus Bronze,817.45 RON
AQIRYS,Cup,550 W,80 Plus Bronze,924.93 RON
AQIRYS,Bit,2000 W,80 Plus Silver,546.0 RON
be quiet!,Market,500 W,80 Plus Gold,788.2 RON
GIGABYTE,Improve,750 W,80 Plus Platinum,486.67 RON
Corsair,Current,600 W,80 Plus Gold,153.2 RON
Corsair,Big,750 W,80 Plus Silver,629.92 RON
GIGABYTE,See,600 W,80 Plus Gold,608.04 RON
Corsair,Certain,550 W,80 Plus Bronze,460.81 RON
Corsair,Product,500 W,80 Plus Platinum,374.97 RON
