Manufacturer, Model, Capacity_TB, Speed (RPM), Price
Samsung,Most,6 TB,7200 RPM,496.19 RON
ADATA,Positive,4 TB,7200 RPM,285.42 RON
Crucial,Option,10 TB,7200 RPM,722.74 RON
Corsair,Discussion,3 TB,5400 RPM,514.08 RON
Crucial,Short,1 TB,7200 RPM,884.38 RON
Crucial,Explain,1 TB,7200 RPM,545.98 RON
Corsair,Practice,2 TB,5400 RPM,728.26 RON
Crucial,Usually,6 TB,7200 RPM,752.68 RON
Crucial,Else,8 TB,5400 RPM,949.95 RON
ADATA,Myself,6 TB,7200 RPM,648.73 RON
Samsung,Court,10 TB,5400 RPM,842.08 RON
Corsair,Middle,5 TB,5400 RPM,351.73 RON
Samsung,School,10 TB,5400 RPM,265.4 RON
Seagate,Professor,2 TB,7200 RPM,825.92 RON
Seagate,Book,10 TB,7200 RPM,672.68 RON
Samsung,Deep,2 TB,5400 RPM,838.8 RON
Corsair,Thank,5 TB,7200 RPM,544.21 RON
Corsair,Suffer,6 TB,5400 RPM,906.11 RON
ADATA,After,1 TB,7200 RPM,644.0 RON
Seagate,Bed,1 TB,7200 RPM,448.45 RON
Samsung,Either,2 TB,7200 RPM,460.1 RON
Seagate,Almost,4 TB,5400 RPM,302.28 RON
Western Digital,Budget,1 TB,7200 RPM,327.14 RON
Western Digital,State,10 TB,7200 RPM,554.94 RON
Western Digital,Morning,2 TB,7200 RPM,789.6 RON
ADATA,Hard,4 TB,5400 RPM,598.08 RON
Corsair,Film,4 TB,7200 RPM,889.67 RON
Samsung,First,4 TB,7200 RPM,442.25 RON
Seagate,Floor,1 TB,7200 RPM,304.99 RON
Western Digital,Table,10 TB,7200 RPM,495.15 RON
Samsung,Firm,5 TB,7200 RPM,505.37 RON
Western Digital,Entire,1 TB,7200 RPM,718.94 RON
Seagate,Think,8 TB,5400 RPM,810.31 RON
Seagate,Her,3 TB,5400 RPM,860.01 RON
Samsung,Seat,5 TB,7200 RPM,881.13 RON
Western Digital,So,6 TB,5400 RPM,419.29 RON
Western Digital,Down,1 TB,5400 RPM,837.9 RON
Samsung,Public,1 TB,5400 RPM,907.2 RON
Corsair,Spend,5 TB,7200 RPM,931.36 RON
Western Digital,Anyone,3 TB,7200 RPM,569.71 RON
Western Digital,Majority,3 TB,5400 RPM,921.96 RON
Crucial,Record,10 TB,7200 RPM,401.07 RON
ADATA,Maintain,6 TB,7200 RPM,726.44 RON
Corsair,Dark,4 TB,7200 RPM,202.45 RON
Corsair,Husband,2 TB,5400 RPM,626.17 RON
Seagate,Level,3 TB,5400 RPM,975.12 RON
Western Digital,Training,8 TB,7200 RPM,992.2 RON
ADATA,Between,10 TB,5400 RPM,783.78 RON
Western Digital,Fish,6 TB,5400 RPM,644.4 RON
ADATA,Money,8 TB,5400 RPM,878.74 RON
ADATA,Personal,4 TB,7200 RPM,815.23 RON
Seagate,Mean,6 TB,5400 RPM,706.34 RON
Samsung,Sister,3 TB,7200 RPM,390.65 RON
Seagate,Thought,2 TB,7200 RPM,672.27 RON
Corsair,Rise,5 TB,7200 RPM,619.94 RON
Crucial,Term,4 TB,7200 RPM,799.73 RON
Corsair,Figure,1 TB,5400 RPM,975.48 RON
Western Digital,Father,5 TB,5400 RPM,472.11 RON
Western Digital,Still,8 TB,5400 RPM,796.61 RON
Seagate,Him,10 TB,7200 RPM,531.45 RON
Samsung,Cell,4 TB,7200 RPM,298.34 RON
ADATA,Black,5 TB,5400 RPM,201.75 RON
Corsair,Middle,5 TB,7200 RPM,654.48 RON
Corsair,Off,8 TB,7200 RPM,511.79 RON
Crucial,Big,4 TB,7200 RPM,382.27 RON
Crucial,Seem,10 TB,7200 RPM,724.72 RON
Samsung,Believe,4 TB,5400 RPM,676.62 RON
Western Digital,Computer,8 TB,5400 RPM,338.45 RON
Samsung,Child,8 TB,7200 RPM,248.29 RON
Corsair,Result,6 TB,5400 RPM,650.73 RON
Crucial,Check,1 TB,7200 RPM,520.28 RON
ADATA,Field,6 TB,7200 RPM,807.28 RON
Seagate,Will,4 TB,7200 RPM,922.89 RON
Samsung,Bring,3 TB,5400 RPM,396.33 RON
Samsung,Win,8 TB,5400 RPM,770.38 RON
Corsair,Wish,5 TB,7200 RPM,822.74 RON
Crucial,Keep,1 TB,7200 RPM,259.27 RON
Samsung,Store,3 TB,7200 RPM,786.68 RON
Corsair,Through,10 TB,7200 RPM,344.81 RON
ADATA,Race,6 TB,5400 RPM,968.04 RON
Western Digital,Develop,3 TB,7200 RPM,903.13 RON
Seagate,Whom,6 TB,5400 RPM,755.78 RON
Western Digital,Next,5 TB,5400 RPM,368.04 RON
Corsair,Indicate,3 TB,7200 RPM,744.04 RON
ADATA,Sort,4 TB,5400 RPM,713.14 RON
Western Digital,Age,10 TB,5400 RPM,826.0 RON
ADATA,Apply,10 TB,5400 RPM,252.19 RON
ADATA,Break,4 TB,7200 RPM,865.36 RON
Western Digital,Player,10 TB,5400 RPM,459.94 RON
ADATA,Young,5 TB,5400 RPM,876.33 RON
Western Digital,Network,6 TB,5400 RPM,684.56 RON
ADATA,Art,2 TB,7200 RPM,967.85 RON
Crucial,Use,10 TB,5400 RPM,676.5 RON
ADATA,Magazine,5 TB,5400 RPM,416.4 RON
Corsair,Tax,4 TB,5400 RPM,888.93 RON
Crucial,Either,4 TB,7200 RPM,724.8 RON
Seagate,Point,10 TB,5400 RPM,405.3 RON
Seagate,Knowledge,3 TB,5400 RPM,786.86 RON
Samsung,Understand,4 TB,5400 RPM,740.21 RON
Crucial,No,6 TB,7200 RPM,927.8 RON
Crucial,Fill,4 TB,5400 RPM,824.21 RON
ADATA,Only,2 TB,5400 RPM,264.16 RON
Corsair,Seem,5 TB,7200 RPM,643.84 RON
Samsung,Truth,10 TB,7200 RPM,424.21 RON
Crucial,Couple,1 TB,5400 RPM,410.7 RON
Crucial,Throughout,8 TB,5400 RPM,279.07 RON
Samsung,Forward,8 TB,7200 RPM,309.88 RON
Samsung,Somebody,5 TB,5400 RPM,899.52 RON
ADATA,Kitchen,8 TB,5400 RPM,290.33 RON
Western Digital,Anyone,10 TB,7200 RPM,434.34 RON
Western Digital,Thank,10 TB,7200 RPM,902.91 RON
Crucial,Else,8 TB,7200 RPM,754.4 RON
Corsair,Tough,3 TB,5400 RPM,963.32 RON
Seagate,Hold,8 TB,7200 RPM,949.94 RON
Corsair,Experience,4 TB,5400 RPM,813.29 RON
Corsair,Others,5 TB,7200 RPM,638.28 RON
Western Digital,Ground,6 TB,7200 RPM,228.86 RON
Western Digital,Develop,2 TB,7200 RPM,286.42 RON
Western Digital,Off,10 TB,5400 RPM,505.36 RON
Western Digital,Sense,2 TB,5400 RPM,769.94 RON
ADATA,Visit,6 TB,7200 RPM,654.73 RON
Samsung,Individual,4 TB,7200 RPM,927.95 RON
Seagate,Professor,2 TB,7200 RPM,825.03 RON
Samsung,Should,8 TB,5400 RPM,808.61 RON
Corsair,Price,2 TB,7200 RPM,668.17 RON
Corsair,Series,2 TB,7200 RPM,404.92 RON
Western Digital,Concern,1 TB,5400 RPM,711.2 RON
Crucial,Safe,1 TB,5400 RPM,207.1 RON
Seagate,Ok,5 TB,5400 RPM,741.79 RON
Corsair,See,4 TB,5400 RPM,743.09 RON
Western Digital,Resource,8 TB,5400 RPM,800.9 RON
Corsair,Pattern,8 TB,7200 RPM,651.65 RON
Corsair,Billion,6 TB,5400 RPM,857.25 RON
Western Digital,Boy,6 TB,7200 RPM,654.93 RON
Western Digital,Medical,8 TB,5400 RPM,556.64 RON
Samsung,Artist,8 TB,7200 RPM,958.49 RON
Seagate,Only,1 TB,5400 RPM,642.59 RON
ADATA,Number,8 TB,7200 RPM,807.36 RON
ADATA,Exactly,10 TB,5400 RPM,434.1 RON
Seagate,Economic,3 TB,5400 RPM,224.89 RON
Samsung,Life,10 TB,7200 RPM,339.32 RON
Seagate,Something,6 TB,5400 RPM,353.88 RON
Western Digital,Western,1 TB,7200 RPM,886.1 RON
ADATA,Serve,10 TB,7200 RPM,658.37 RON
ADATA,Nothing,8 TB,5400 RPM,209.46 RON
Seagate,Similar,4 TB,5400 RPM,468.44 RON
Western Digital,Hold,10 TB,5400 RPM,374.49 RON
Seagate,Family,6 TB,5400 RPM,539.16 RON
Samsung,Important,3 TB,7200 RPM,513.8 RON
ADATA,Left,5 TB,7200 RPM,351.85 RON
Seagate,Drop,3 TB,7200 RPM,237.5 RON
Western Digital,Hot,6 TB,5400 RPM,816.86 RON
Seagate,Find,6 TB,5400 RPM,204.17 RON
Samsung,Owner,1 TB,7200 RPM,898.41 RON
Corsair,Tell,4 TB,5400 RPM,316.01 RON
Crucial,Admit,2 TB,7200 RPM,292.93 RON
Corsair,Find,3 TB,7200 RPM,413.29 RON
Crucial,Star,4 TB,5400 RPM,280.1 RON
Samsung,Actually,3 TB,5400 RPM,726.23 RON
Western Digital,Feel,6 TB,5400 RPM,854.13 RON
Seagate,Entire,4 TB,7200 RPM,376.72 RON
ADATA,From,2 TB,7200 RPM,624.45 RON
ADATA,Senior,10 TB,7200 RPM,271.77 RON
Corsair,Me,3 TB,7200 RPM,987.27 RON
Corsair,Still,8 TB,7200 RPM,692.36 RON
Corsair,Year,1 TB,7200 RPM,454.07 RON
Western Digital,Little,4 TB,5400 RPM,962.06 RON
Samsung,Instead,4 TB,5400 RPM,667.43 RON
Crucial,There,4 TB,7200 RPM,956.06 RON
Seagate,Page,2 TB,5400 RPM,675.52 RON
Western Digital,Police,8 TB,7200 RPM,264.05 RON
Samsung,Data,8 TB,5400 RPM,890.96 RON
Seagate,Evening,3 TB,5400 RPM,218.51 RON
Western Digital,Man,10 TB,7200 RPM,837.62 RON
ADATA,It,3 TB,7200 RPM,669.67 RON
Crucial,Figure,2 TB,7200 RPM,832.45 RON
Samsung,Suffer,3 TB,7200 RPM,298.56 RON
Western Digital,Middle,8 TB,7200 RPM,748.46 RON
Western Digital,Appear,1 TB,7200 RPM,234.93 RON
Samsung,Ask,2 TB,5400 RPM,606.93 RON
Crucial,Trade,10 TB,5400 RPM,906.37 RON
Samsung,Send,1 TB,7200 RPM,487.19 RON
Samsung,Along,6 TB,5400 RPM,888.48 RON
Seagate,Middle,1 TB,7200 RPM,582.6 RON
Seagate,Whom,1 TB,5400 RPM,562.23 RON
Samsung,Science,4 TB,5400 RPM,767.16 RON
Samsung,Commercial,8 TB,5400 RPM,989.57 RON
Western Digital,Election,10 TB,5400 RPM,726.16 RON
Crucial,Morning,2 TB,7200 RPM,480.98 RON
Western Digital,According,2 TB,5400 RPM,758.89 RON
Seagate,Performance,2 TB,7200 RPM,932.25 RON
Western Digital,Against,6 TB,7200 RPM,960.33 RON
Western Digital,Laugh,1 TB,5400 RPM,941.04 RON
Western Digital,Interest,1 TB,7200 RPM,325.19 RON
Crucial,Option,1 TB,5400 RPM,621.05 RON
Samsung,Foot,10 TB,5400 RPM,761.62 RON
Crucial,Interview,6 TB,7200 RPM,442.93 RON
ADATA,According,6 TB,7200 RPM,526.57 RON
ADATA,Her,6 TB,7200 RPM,554.18 RON
Western Digital,By,2 TB,5400 RPM,970.57 RON
ADATA,According,2 TB,5400 RPM,758.15 RON
Corsair,Evening,10 TB,7200 RPM,567.8 RON
Samsung,Long,6 TB,5400 RPM,757.84 RON
Western Digital,If,1 TB,5400 RPM,255.47 RON
ADATA,Series,2 TB,5400 RPM,784.25 RON
Western Digital,Understand,5 TB,7200 RPM,651.78 RON
Corsair,Agent,4 TB,5400 RPM,519.19 RON
Corsair,Movement,8 TB,5400 RPM,263.87 RON
Western Digital,Quality,10 TB,7200 RPM,872.72 RON
Seagate,Learn,3 TB,5400 RPM,871.54 RON
Samsung,Keep,6 TB,7200 RPM,959.72 RON
Samsung,Watch,3 TB,7200 RPM,548.22 RON
Western Digital,Consider,8 TB,5400 RPM,399.45 RON
Crucial,Resource,10 TB,7200 RPM,713.69 RON
Western Digital,Future,4 TB,7200 RPM,652.21 RON
Corsair,Man,2 TB,5400 RPM,208.55 RON
Western Digital,Design,6 TB,7200 RPM,845.16 RON
Corsair,Option,1 TB,7200 RPM,555.08 RON
Crucial,Woman,2 TB,5400 RPM,461.17 RON
Crucial,Me,2 TB,7200 RPM,960.56 RON
Crucial,Skill,2 TB,7200 RPM,677.09 RON
Corsair,Their,1 TB,7200 RPM,464.06 RON
Crucial,Site,2 TB,7200 RPM,673.72 RON
Samsung,Without,2 TB,5400 RPM,859.9 RON
ADATA,Appear,6 TB,7200 RPM,548.24 RON
Seagate,Join,5 TB,7200 RPM,693.36 RON
Seagate,Reflect,2 TB,7200 RPM,913.62 RON
Corsair,Least,2 TB,7200 RPM,873.93 RON
Western Digital,Improve,5 TB,7200 RPM,336.89 RON
Corsair,Discover,1 TB,5400 RPM,523.53 RON
Crucial,Friend,8 TB,5400 RPM,698.53 RON
Crucial,Current,2 TB,7200 RPM,506.56 RON
Crucial,Song,6 TB,7200 RPM,433.68 RON
Crucial,List,6 TB,7200 RPM,345.06 RON
Crucial,Over,5 TB,5400 RPM,744.67 RON
Corsair,Back,4 TB,7200 RPM,742.62 RON
Western Digital,Report,4 TB,7200 RPM,580.85 RON
Western Digital,Them,8 TB,7200 RPM,376.19 RON
Seagate,Could,4 TB,7200 RPM,601.11 RON
Seagate,International,10 TB,5400 RPM,784.11 RON
ADATA,Month,8 TB,5400 RPM,770.83 RON
ADATA,Information,2 TB,7200 RPM,951.26 RON
ADATA,Note,8 TB,5400 RPM,763.7 RON
Western Digital,Perhaps,10 TB,5400 RPM,958.86 RON
Western Digital,Suggest,5 TB,5400 RPM,465.74 RON
Crucial,Line,1 TB,7200 RPM,908.08 RON
Samsung,Range,10 TB,7200 RPM,289.97 RON
Samsung,View,1 TB,7200 RPM,755.8 RON
Samsung,Degree,4 TB,5400 RPM,538.63 RON
Seagate,Field,3 TB,5400 RPM,672.34 RON
Crucial,Why,2 TB,7200 RPM,487.68 RON
ADATA,Include,3 TB,5400 RPM,531.73 RON
Samsung,Similar,2 TB,5400 RPM,437.39 RON
Crucial,Design,3 TB,5400 RPM,765.26 RON
Western Digital,Their,2 TB,7200 RPM,857.89 RON
Seagate,Financial,8 TB,7200 RPM,663.65 RON
Seagate,Middle,2 TB,7200 RPM,808.06 RON
Western Digital,Do,6 TB,7200 RPM,361.13 RON
ADATA,Agreement,5 TB,7200 RPM,881.63 RON
Seagate,Republican,6 TB,7200 RPM,306.78 RON
Western Digital,Stage,1 TB,7200 RPM,662.34 RON
Samsung,Now,3 TB,7200 RPM,805.33 RON
Seagate,Example,6 TB,7200 RPM,237.16 RON
Western Digital,Beyond,8 TB,5400 RPM,858.69 RON
Seagate,True,2 TB,7200 RPM,515.81 RON
Western Digital,Cause,4 TB,5400 RPM,492.83 RON
Crucial,Suffer,3 TB,7200 RPM,285.74 RON
Crucial,Particularly,10 TB,7200 RPM,484.69 RON
ADATA,Without,2 TB,7200 RPM,705.25 RON
ADATA,Consumer,1 TB,7200 RPM,947.36 RON
Crucial,Leg,1 TB,5400 RPM,419.48 RON
Seagate,Option,3 TB,5400 RPM,813.48 RON
Western Digital,Television,8 TB,5400 RPM,209.09 RON
Samsung,Prove,5 TB,7200 RPM,388.28 RON
ADATA,Animal,2 TB,7200 RPM,457.71 RON
Crucial,Second,4 TB,7200 RPM,868.47 RON
Seagate,Between,3 TB,7200 RPM,573.33 RON
Seagate,Important,2 TB,5400 RPM,472.53 RON
Corsair,Plan,3 TB,5400 RPM,884.98 RON
Western Digital,Miss,1 TB,5400 RPM,522.34 RON
Corsair,Sing,4 TB,7200 RPM,514.0 RON
Samsung,Security,2 TB,5400 RPM,440.28 RON
Seagate,Western,3 TB,5400 RPM,428.66 RON
Corsair,Cultural,10 TB,5400 RPM,787.26 RON
