Manufacturer, Model, Cores, Frequency (GHz), Price
Intel,Black,12,2.57 GHz,1285.25 RON
AMD,Style,24,4.25 GHz,609.03 RON
Intel,Entire,16,4.16 GHz,1548.61 RON
AMD,Whom,12,2.47 GHz,2590.84 RON
AMD,Begin,16,2.25 GHz,1295.05 RON
AMD,Within,4,4.77 GHz,2052.95 RON
Intel,Often,12,3.39 GHz,953.53 RON
AMD,Look,24,4.56 GHz,1493.43 RON
Intel,Remember,4,3.33 GHz,1113.13 RON
AMD,Boy,8,4.84 GHz,559.12 RON
AMD,Still,4,3.85 GHz,2118.28 RON
AMD,He,16,4.0 GHz,626.5 RON
Intel,Stage,16,2.51 GHz,1472.15 RON
AMD,Factor,16,2.72 GHz,837.88 RON
AMD,Seat,4,4.49 GHz,2736.83 RON
AMD,Tree,4,3.55 GHz,1188.4 RON
Intel,Start,16,3.26 GHz,1146.46 RON
AMD,Every,6,3.5 GHz,518.34 RON
Intel,Mrs,4,2.83 GHz,2200.63 RON
AMD,Low,6,2.15 GHz,2209.15 RON
Intel,Until,24,2.37 GHz,2820.89 RON
AMD,Cell,16,4.47 GHz,2775.55 RON
AMD,Property,4,3.34 GHz,1672.61 RON
AMD,During,6,3.92 GHz,1431.86 RON
Intel,Hospital,12,4.8 GHz,2251.41 RON
AMD,Language,24,4.05 GHz,959.06 RON
Intel,Person,16,2.72 GHz,651.88 RON
AMD,Operation,8,4.75 GHz,2321.47 RON
Intel,Time,4,2.56 GHz,2571.04 RON
AMD,Measure,4,4.77 GHz,594.31 RON
AMD,Tend,6,3.49 GHz,1940.26 RON
AMD,New,4,3.32 GHz,865.29 RON
AMD,Person,12,2.66 GHz,1975.15 RON
Intel,Station,8,2.32 GHz,531.93 RON
AMD,Wish,12,3.28 GHz,1395.31 RON
AMD,Evidence,16,4.43 GHz,1667.66 RON
Intel,Wish,24,3.43 GHz,662.86 RON
AMD,Body,16,3.49 GHz,847.52 RON
Intel,Image,4,2.52 GHz,1529.34 RON
AMD,Cover,16,2.65 GHz,1325.01 RON
Intel,Republican,8,3.47 GHz,1424.19 RON
Intel,Animal,4,2.46 GHz,480.46 RON
Intel,Watch,8,2.53 GHz,713.17 RON
Intel,Whatever,24,4.53 GHz,1130.85 RON
AMD,Collection,12,4.17 GHz,444.52 RON
Intel,But,8,2.72 GHz,2301.28 RON
Intel,Laugh,6,2.64 GHz,1123.51 RON
AMD,Leader,16,2.78 GHz,1888.29 RON
Intel,Do,12,3.82 GHz,1714.51 RON
Intel,Lead,16,4.65 GHz,2190.58 RON
Intel,Rock,6,2.47 GHz,1671.74 RON
Intel,Game,6,3.81 GHz,2809.97 RON
Intel,Task,6,3.54 GHz,2402.75 RON
AMD,Example,8,3.91 GHz,1704.6 RON
Intel,Bank,8,4.29 GHz,1972.67 RON
Intel,Result,4,2.1 GHz,2743.63 RON
AMD,Western,12,2.28 GHz,2674.78 RON
Intel,Represent,16,3.24 GHz,2106.84 RON
Intel,Old,24,2.25 GHz,1266.66 RON
AMD,Nation,8,2.31 GHz,1167.68 RON
Intel,Develop,6,2.49 GHz,848.38 RON
Intel,Often,16,2.58 GHz,424.01 RON
AMD,Allow,12,2.17 GHz,1167.42 RON
Intel,Together,8,3.0 GHz,2875.56 RON
Intel,He,6,3.62 GHz,2351.56 RON
AMD,Outside,24,2.61 GHz,2734.18 RON
AMD,Defense,6,2.78 GHz,1241.01 RON
Intel,Just,24,3.24 GHz,753.72 RON
Intel,Positive,24,3.77 GHz,1560.86 RON
Intel,Attorney,24,2.51 GHz,1233.7 RON
AMD,Age,16,2.0 GHz,866.39 RON
AMD,Effect,24,3.12 GHz,1751.74 RON
AMD,Home,12,4.45 GHz,1960.17 RON
Intel,Involve,4,2.74 GHz,2569.46 RON
AMD,Point,24,2.9 GHz,1786.9 RON
Intel,Town,24,4.07 GHz,1865.11 RON
Intel,Which,12,4.09 GHz,1318.87 RON
AMD,House,12,4.28 GHz,1574.92 RON
Intel,Glass,12,3.52 GHz,1156.81 RON
Intel,Share,16,4.09 GHz,1728.93 RON
AMD,Agree,4,4.18 GHz,1939.65 RON
Intel,Subject,8,2.02 GHz,686.17 RON
Intel,Very,8,4.15 GHz,979.05 RON
AMD,Door,8,2.47 GHz,2587.54 RON
Intel,Middle,4,3.67 GHz,1032.6 RON
AMD,Yet,12,4.82 GHz,1237.35 RON
AMD,Arrive,16,4.06 GHz,493.77 RON
AMD,Notice,12,3.86 GHz,1310.71 RON
AMD,City,16,4.23 GHz,972.13 RON
Intel,Lawyer,6,3.24 GHz,2074.04 RON
Intel,Design,24,4.84 GHz,2238.17 RON
AMD,Minute,8,4.11 GHz,2178.47 RON
AMD,Oil,4,3.85 GHz,2290.68 RON
Intel,Term,8,3.31 GHz,2825.9 RON
Intel,Record,6,5.0 GHz,2513.22 RON
AMD,Minute,6,4.9 GHz,2468.16 RON
AMD,Everything,24,4.23 GHz,1004.52 RON
AMD,Suggest,4,2.77 GHz,745.8 RON
Intel,Bit,6,2.53 GHz,928.97 RON
Intel,Star,8,4.29 GHz,2827.36 RON
Intel,Trip,6,2.56 GHz,919.45 RON
Intel,Republican,12,3.52 GHz,793.55 RON
AMD,Begin,12,4.78 GHz,2947.25 RON
AMD,Staff,24,2.78 GHz,1732.32 RON
Intel,Religious,4,4.42 GHz,973.39 RON
Intel,Drive,12,2.3 GHz,1880.24 RON
Intel,Everybody,12,4.96 GHz,2465.46 RON
AMD,Eight,8,3.74 GHz,2747.2 RON
Intel,Dinner,16,3.45 GHz,1484.45 RON
AMD,Writer,12,2.06 GHz,2834.0 RON
AMD,Almost,8,3.02 GHz,2489.68 RON
Intel,Society,6,3.08 GHz,1363.57 RON
AMD,Tell,4,3.05 GHz,2297.29 RON
Intel,Total,8,2.85 GHz,567.52 RON
Intel,Watch,16,4.27 GHz,755.57 RON
Intel,Just,4,4.99 GHz,1297.37 RON
AMD,Work,24,4.68 GHz,2491.05 RON
AMD,Case,6,2.87 GHz,2988.48 RON
AMD,Brother,6,2.19 GHz,2105.06 RON
Intel,Resource,24,4.17 GHz,1223.9 RON
AMD,Material,4,2.2 GHz,1174.08 RON
Intel,Car,8,3.47 GHz,1651.06 RON
Intel,Hotel,16,2.32 GHz,1324.36 RON
AMD,Open,4,2.31 GHz,2875.3 RON
Intel,Study,6,3.39 GHz,2058.86 RON
AMD,As,24,4.41 GHz,1982.49 RON
Intel,Everything,8,3.18 GHz,913.11 RON
Intel,Avoid,12,4.79 GHz,2747.92 RON
Intel,Personal,12,3.52 GHz,1693.09 RON
AMD,Dinner,16,2.68 GHz,2878.03 RON
Intel,Present,12,4.29 GHz,558.21 RON
AMD,Ability,6,3.87 GHz,1528.14 RON
Intel,Movie,16,3.71 GHz,1885.42 RON
AMD,Difficult,24,3.13 GHz,2332.28 RON
AMD,Third,24,3.0 GHz,646.72 RON
AMD,Reflect,4,4.0 GHz,765.63 RON
Intel,Whether,12,2.87 GHz,2359.17 RON
Intel,Property,16,3.74 GHz,2475.95 RON
AMD,Billion,6,3.14 GHz,1291.66 RON
Intel,Bar,24,3.6 GHz,418.19 RON
AMD,Ok,8,4.13 GHz,2452.63 RON
Intel,And,8,4.17 GHz,2812.84 RON
AMD,Animal,24,3.6 GHz,1690.21 RON
AMD,Language,4,3.14 GHz,613.59 RON
Intel,Listen,6,4.18 GHz,1093.24 RON
AMD,Population,4,3.66 GHz,1304.88 RON
AMD,But,6,4.66 GHz,1349.8 RON
AMD,Yes,12,3.42 GHz,654.44 RON
AMD,Throughout,24,2.67 GHz,871.88 RON
AMD,Floor,16,3.85 GHz,1150.02 RON
Intel,Industry,24,2.53 GHz,2031.76 RON
AMD,Hit,12,2.64 GHz,973.0 RON
AMD,State,8,4.32 GHz,2831.33 RON
Intel,Color,24,2.97 GHz,2932.12 RON
AMD,Or,24,4.75 GHz,2923.37 RON
Intel,Tend,16,2.92 GHz,2968.64 RON
AMD,Medical,6,3.38 GHz,995.35 RON
AMD,Pass,16,5.0 GHz,2536.04 RON
Intel,Eye,6,3.3 GHz,466.7 RON
Intel,Good,6,4.37 GHz,2521.92 RON
AMD,Physical,24,2.51 GHz,811.48 RON
Intel,Program,16,3.59 GHz,2659.69 RON
Intel,Wide,6,2.08 GHz,2425.56 RON
AMD,Once,4,3.5 GHz,2150.76 RON
AMD,Conference,16,2.49 GHz,592.76 RON
AMD,Expect,24,3.67 GHz,1888.86 RON
Intel,Close,12,2.68 GHz,1499.43 RON
AMD,Party,12,4.29 GHz,2702.46 RON
Intel,Science,4,4.2 GHz,2747.66 RON
AMD,Rise,24,2.74 GHz,674.55 RON
AMD,Glass,6,2.79 GHz,1881.5 RON
AMD,Admit,24,3.39 GHz,794.28 RON
Intel,Measure,16,2.56 GHz,1162.85 RON
AMD,Camera,8,3.96 GHz,2830.05 RON
Intel,Either,24,4.91 GHz,1208.21 RON
Intel,Throw,16,4.46 GHz,1602.51 RON
AMD,Alone,12,4.3 GHz,844.24 RON
AMD,Her,12,4.5 GHz,1022.36 RON
AMD,Allow,8,4.54 GHz,878.32 RON
Intel,Return,8,2.07 GHz,1973.98 RON
Intel,Student,24,2.52 GHz,865.39 RON
Intel,Seven,12,4.94 GHz,1621.45 RON
AMD,Happen,24,2.75 GHz,689.52 RON
AMD,Edge,4,3.04 GHz,1001.39 RON
AMD,Five,24,3.93 GHz,2547.46 RON
Intel,Site,16,3.29 GHz,2051.94 RON
AMD,Check,16,4.03 GHz,2772.21 RON
Intel,Floor,4,4.08 GHz,1736.4 RON
Intel,Part,8,3.51 GHz,2600.02 RON
Intel,Bag,24,3.93 GHz,2406.92 RON
AMD,Any,24,4.74 GHz,1063.69 RON
Intel,Return,6,2.75 GHz,1493.22 RON
AMD,Thus,24,4.0 GHz,1154.0 RON
AMD,Analysis,4,4.38 GHz,547.39 RON
Intel,Fine,24,4.09 GHz,441.95 RON
AMD,Water,6,2.59 GHz,1743.42 RON
AMD,Produce,16,3.04 GHz,2229.39 RON
Intel,Month,24,2.08 GHz,2123.93 RON
AMD,Those,4,3.83 GHz,2473.48 RON
AMD,Foreign,12,3.99 GHz,806.81 RON
AMD,Position,8,4.49 GHz,2055.63 RON
Intel,Sort,8,4.49 GHz,1079.39 RON
Intel,Stand,24,3.43 GHz,2585.28 RON
AMD,Wonder,12,2.77 GHz,2161.79 RON
AMD,Next,8,2.29 GHz,2056.87 RON
AMD,Manage,12,4.3 GHz,413.22 RON
Intel,Thought,6,2.7 GHz,2770.27 RON
AMD,Or,4,3.9 GHz,2217.02 RON
AMD,Poor,16,4.83 GHz,1279.93 RON
Intel,Play,16,4.57 GHz,2406.61 RON
AMD,May,6,2.69 GHz,1347.56 RON
AMD,Vote,4,3.85 GHz,2084.43 RON
Intel,Well,6,3.53 GHz,1193.67 RON
AMD,Yourself,24,4.76 GHz,1784.05 RON
Intel,Go,24,4.79 GHz,1004.78 RON
Intel,Quickly,8,2.16 GHz,1908.71 RON
AMD,Including,4,2.78 GHz,2891.25 RON
AMD,Teach,16,3.65 GHz,2983.83 RON
Intel,Daughter,8,4.47 GHz,1847.62 RON
Intel,Think,12,4.2 GHz,440.71 RON
AMD,Include,24,3.2 GHz,2237.9 RON
AMD,Interview,16,3.89 GHz,623.68 RON
AMD,Old,6,2.07 GHz,2101.66 RON
AMD,Figure,12,4.16 GHz,2849.03 RON
Intel,World,16,2.07 GHz,2708.25 RON
Intel,Myself,6,2.24 GHz,879.87 RON
Intel,Conference,12,2.6 GHz,656.65 RON
Intel,Poor,8,3.35 GHz,2167.43 RON
Intel,Man,12,3.61 GHz,2927.05 RON
Intel,Human,4,2.16 GHz,705.78 RON
Intel,Page,16,4.67 GHz,2723.25 RON
AMD,Bank,24,2.87 GHz,2312.38 RON
Intel,For,8,4.81 GHz,2783.75 RON
AMD,Campaign,8,2.09 GHz,553.34 RON
AMD,Father,16,4.4 GHz,680.25 RON
Intel,Social,16,4.61 GHz,2796.34 RON
Intel,Pick,12,2.65 GHz,809.83 RON
AMD,Idea,8,2.25 GHz,1130.68 RON
AMD,Ask,8,2.93 GHz,2714.3 RON
AMD,Those,4,2.55 GHz,2307.89 RON
AMD,Rest,24,2.1 GHz,431.2 RON
Intel,Author,16,4.3 GHz,1987.73 RON
AMD,Employee,16,4.3 GHz,903.34 RON
AMD,Name,12,2.45 GHz,498.95 RON
Intel,Upon,4,4.77 GHz,1491.97 RON
AMD,Player,6,4.65 GHz,1211.82 RON
AMD,Someone,8,4.79 GHz,877.92 RON
AMD,Third,12,4.36 GHz,1137.85 RON
AMD,Day,8,4.59 GHz,495.42 RON
Intel,Lot,12,3.76 GHz,1881.15 RON
AMD,Chair,6,4.26 GHz,2469.58 RON
AMD,Watch,16,2.68 GHz,2739.78 RON
AMD,Improve,12,3.65 GHz,694.45 RON
Intel,Out,6,2.83 GHz,903.35 RON
Intel,Audience,8,2.4 GHz,2440.65 RON
AMD,Week,16,2.76 GHz,2134.87 RON
Intel,Relate,8,3.77 GHz,1141.77 RON
AMD,Service,12,4.35 GHz,408.47 RON
AMD,Player,12,3.53 GHz,2516.77 RON
AMD,Dinner,6,2.01 GHz,1668.68 RON
Intel,Myself,8,4.37 GHz,2363.87 RON
AMD,Sing,12,3.96 GHz,2185.06 RON
Intel,Fire,6,4.4 GHz,1092.35 RON
Intel,Case,12,4.72 GHz,509.54 RON
Intel,National,8,4.41 GHz,1267.83 RON
Intel,Whole,16,3.55 GHz,1134.39 RON
AMD,Threat,8,2.32 GHz,2847.39 RON
AMD,Short,4,3.8 GHz,2904.56 RON
Intel,Management,12,3.95 GHz,586.68 RON
AMD,Central,24,2.64 GHz,1306.77 RON
AMD,Few,4,4.74 GHz,926.81 RON
Intel,Everyone,12,2.54 GHz,602.14 RON
AMD,Real,12,2.56 GHz,714.98 RON
Intel,Class,6,4.26 GHz,1115.54 RON
AMD,Direction,4,2.15 GHz,1035.91 RON
Intel,Call,4,2.33 GHz,1543.05 RON
Intel,Congress,8,4.92 GHz,2263.97 RON
AMD,Nice,6,4.62 GHz,2610.96 RON
AMD,Minute,4,4.29 GHz,1097.97 RON
Intel,Bit,6,3.65 GHz,2479.61 RON
AMD,It,8,2.09 GHz,1370.82 RON
AMD,Outside,6,2.61 GHz,2753.47 RON
AMD,Could,16,3.33 GHz,955.16 RON
Intel,Have,6,3.3 GHz,1977.01 RON
AMD,Whom,8,4.2 GHz,1158.63 RON
AMD,Participant,12,3.47 GHz,1089.73 RON
Intel,Both,6,4.88 GHz,900.99 RON
Intel,Together,16,3.71 GHz,1066.93 RON
AMD,You,6,2.47 GHz,1794.99 RON
AMD,Information,16,2.8 GHz,1148.32 RON
Intel,Theory,24,3.21 GHz,2408.36 RON
Intel,Charge,16,2.4 GHz,672.94 RON
AMD,Usually,6,4.21 GHz,2816.9 RON
Intel,Ahead,6,4.75 GHz,2682.75 RON
AMD,Upon,6,2.26 GHz,2570.77 RON
AMD,Build,4,4.67 GHz,2387.49 RON
Intel,Process,6,3.35 GHz,1681.23 RON
Intel,Employee,24,4.58 GHz,1206.18 RON
AMD,List,4,3.92 GHz,1022.09 RON
AMD,Foot,4,2.83 GHz,1890.78 RON
Intel,Friend,24,2.25 GHz,2766.57 RON
AMD,Just,6,3.45 GHz,1877.32 RON
AMD,Someone,8,3.43 GHz,2261.81 RON
Intel,Song,16,4.05 GHz,1120.4 RON
Intel,Life,4,3.35 GHz,1961.92 RON
Intel,Yard,4,2.34 GHz,2131.49 RON
Intel,Worker,12,5.0 GHz,2882.66 RON
Intel,Toward,12,4.4 GHz,2063.59 RON
Intel,Fire,4,2.33 GHz,1626.89 RON
Intel,Will,12,3.36 GHz,959.55 RON
AMD,Maintain,24,2.19 GHz,2288.46 RON
AMD,View,16,3.35 GHz,2152.68 RON
AMD,Before,6,4.36 GHz,2511.53 RON
Intel,Project,4,2.7 GHz,2206.27 RON
Intel,Be,24,2.49 GHz,2931.21 RON
AMD,Drop,24,2.71 GHz,2725.69 RON
Intel,Summer,16,4.13 GHz,1393.66 RON
AMD,Teach,4,2.68 GHz,2126.05 RON
AMD,Street,12,2.76 GHz,1982.93 RON
Intel,Star,4,4.47 GHz,1127.92 RON
AMD,Listen,6,4.58 GHz,1625.62 RON
Intel,Enjoy,16,4.59 GHz,2555.83 RON
AMD,Book,6,4.7 GHz,1987.32 RON
AMD,As,4,4.94 GHz,2896.15 RON
AMD,After,16,4.49 GHz,585.61 RON
Intel,Television,16,4.56 GHz,417.93 RON
Intel,Institution,12,4.18 GHz,2445.02 RON
Intel,Dark,4,2.18 GHz,1092.25 RON
Intel,Stay,12,3.57 GHz,1293.94 RON
Intel,Everybody,8,2.15 GHz,1351.91 RON
AMD,Threat,4,2.4 GHz,2473.65 RON
AMD,Answer,8,4.35 GHz,797.08 RON
AMD,Clearly,4,3.74 GHz,1548.83 RON
AMD,Everybody,24,4.55 GHz,2319.08 RON
AMD,Soon,8,2.74 GHz,742.29 RON
AMD,Camera,24,4.43 GHz,1633.33 RON
AMD,Director,24,3.74 GHz,2905.35 RON
AMD,Well,6,3.24 GHz,683.65 RON
Intel,Certain,8,3.69 GHz,645.25 RON
AMD,Role,8,4.49 GHz,2397.36 RON
Intel,Continue,24,4.18 GHz,2731.06 RON
Intel,See,6,4.63 GHz,1343.61 RON
Intel,Marriage,6,2.27 GHz,1700.54 RON
Intel,Six,8,2.0 GHz,2181.53 RON
Intel,Now,6,2.32 GHz,2943.71 RON
Intel,Teach,16,2.97 GHz,2449.96 RON
AMD,Mention,8,2.32 GHz,570.3 RON
Intel,Month,4,2.04 GHz,2610.65 RON
AMD,And,8,4.61 GHz,828.42 RON
AMD,Drug,16,4.91 GHz,532.42 RON
Intel,If,4,3.11 GHz,2452.6 RON
Intel,Continue,8,3.27 GHz,2693.36 RON
Intel,Thousand,8,3.09 GHz,620.89 RON
Intel,Central,6,2.93 GHz,2045.08 RON
AMD,Four,12,3.89 GHz,939.23 RON
Intel,Source,24,4.27 GHz,1039.59 RON
Intel,Detail,16,4.52 GHz,1702.09 RON
AMD,Speak,6,4.07 GHz,1621.22 RON
AMD,Guy,16,4.07 GHz,2010.2 RON
Intel,Rate,16,2.08 GHz,674.68 RON
Intel,Know,6,2.96 GHz,1852.84 RON
AMD,Agency,24,2.06 GHz,2577.71 RON
Intel,Recent,12,3.8 GHz,991.09 RON
Intel,Agency,8,2.78 GHz,1205.75 RON
Intel,Job,24,4.05 GHz,731.83 RON
Intel,Level,4,4.65 GHz,1848.71 RON
Intel,Stay,8,3.66 GHz,600.39 RON
Intel,Before,6,2.23 GHz,2904.83 RON
Intel,Send,16,4.31 GHz,2020.76 RON
Intel,Past,24,4.87 GHz,2737.86 RON
AMD,Contain,24,2.5 GHz,2930.76 RON
Intel,Sign,24,2.52 GHz,1735.73 RON
Intel,Thank,24,2.09 GHz,2333.47 RON
Intel,Music,8,2.09 GHz,502.3 RON
Intel,Sell,16,3.88 GHz,1713.33 RON
Intel,Cell,24,2.98 GHz,630.95 RON
AMD,Stand,12,3.88 GHz,525.71 RON
AMD,Brother,24,4.8 GHz,1159.86 RON
Intel,Character,4,3.2 GHz,2741.6 RON
AMD,Somebody,4,2.22 GHz,1327.94 RON
AMD,Lawyer,6,3.81 GHz,845.86 RON
AMD,Since,12,4.35 GHz,1662.17 RON
AMD,May,4,4.46 GHz,2954.83 RON
AMD,Writer,8,2.56 GHz,2229.69 RON
AMD,What,8,3.23 GHz,754.92 RON
Intel,Town,4,4.94 GHz,893.37 RON
AMD,Fly,4,4.48 GHz,1499.4 RON
AMD,Social,4,3.24 GHz,1602.95 RON
Intel,Continue,4,2.88 GHz,983.79 RON
AMD,Can,12,4.21 GHz,2028.11 RON
Intel,Relate,4,3.27 GHz,1590.86 RON
AMD,Research,4,4.87 GHz,1975.69 RON
Intel,Fund,6,4.16 GHz,1250.43 RON
Intel,Assume,4,4.37 GHz,700.8 RON
Intel,Ago,6,3.26 GHz,2782.46 RON
AMD,Will,8,4.35 GHz,2499.78 RON
Intel,Serious,16,2.83 GHz,991.01 RON
AMD,Prevent,8,3.45 GHz,2320.09 RON
Intel,Particularly,4,4.61 GHz,2218.94 RON
AMD,Clearly,12,3.6 GHz,1747.16 RON
AMD,Station,4,3.05 GHz,729.77 RON
AMD,Field,12,2.62 GHz,2064.37 RON
AMD,Know,6,3.49 GHz,1469.77 RON
AMD,And,4,3.9 GHz,1677.92 RON
AMD,Serve,16,3.78 GHz,712.8 RON
AMD,Face,16,2.75 GHz,1793.04 RON
Intel,Allow,6,2.47 GHz,2367.41 RON
AMD,Such,8,2.38 GHz,2205.16 RON
Intel,Player,24,4.53 GHz,2661.18 RON
Intel,Fear,6,3.17 GHz,2639.76 RON
Intel,Western,8,3.57 GHz,1062.47 RON
Intel,However,24,4.86 GHz,2991.0 RON
AMD,Despite,24,2.2 GHz,1547.84 RON
AMD,Gun,6,2.51 GHz,1338.48 RON
Intel,Garden,6,2.83 GHz,1509.68 RON
AMD,Market,16,3.07 GHz,663.93 RON
AMD,Meeting,6,3.48 GHz,1061.15 RON
AMD,Condition,24,2.28 GHz,1004.21 RON
Intel,Big,16,4.08 GHz,724.65 RON
Intel,Focus,6,2.57 GHz,694.44 RON
Intel,Service,24,4.28 GHz,500.41 RON
AMD,Themselves,8,4.31 GHz,1933.82 RON
Intel,Use,24,4.35 GHz,453.61 RON
AMD,Serious,24,3.73 GHz,1931.44 RON
Intel,Cell,16,2.29 GHz,701.63 RON
Intel,Wish,12,4.84 GHz,1420.66 RON
AMD,Find,16,3.01 GHz,2896.98 RON
AMD,Method,12,4.95 GHz,407.99 RON
AMD,Prevent,8,4.64 GHz,1427.31 RON
Intel,Actually,12,2.55 GHz,1194.35 RON
Intel,Medical,12,4.59 GHz,2809.04 RON
AMD,After,8,4.49 GHz,2529.49 RON
AMD,She,6,2.4 GHz,2103.03 RON
AMD,Structure,24,3.05 GHz,2847.56 RON
AMD,Whose,6,4.46 GHz,968.62 RON
Intel,Home,8,4.32 GHz,2106.13 RON
AMD,Simply,4,4.73 GHz,1530.05 RON
AMD,Lay,16,3.92 GHz,2654.57 RON
Intel,Compare,16,2.23 GHz,1878.93 RON
AMD,Realize,16,4.99 GHz,896.72 RON
AMD,Near,6,2.39 GHz,1861.08 RON
AMD,Crime,12,4.25 GHz,1758.42 RON
AMD,Speech,8,2.67 GHz,2033.67 RON
Intel,Newspaper,24,2.12 GHz,2302.98 RON
AMD,About,8,3.13 GHz,531.79 RON
Intel,We,6,3.55 GHz,2657.51 RON
Intel,Through,12,4.45 GHz,1596.74 RON
Intel,Model,6,4.82 GHz,1369.68 RON
Intel,Nor,8,3.67 GHz,2022.61 RON
Intel,Remain,12,3.89 GHz,2243.85 RON
AMD,Son,4,2.94 GHz,1140.26 RON
Intel,Win,4,3.96 GHz,1802.0 RON
Intel,Entire,12,4.62 GHz,1080.96 RON
Intel,Meet,8,4.03 GHz,1743.86 RON
AMD,Spend,24,4.88 GHz,1296.22 RON
Intel,Mission,4,4.54 GHz,1156.11 RON
AMD,Machine,6,2.22 GHz,2496.3 RON
