Manufacturer, Model, Capacity (GB), Speed (MHz), Type, Price
HyperX,Focus,4 GB,6000 MHz,DDR5,854.28 RON
Patriot,Toward,8 GB,5200 MHz,DDR5,1428.19 RON
Kingston,Career,4 GB,2133 MHz,DDR4,940.38 RON
Kingston,Already,8 GB,2400 MHz,DDR4,1347.1 RON
Corsair,Just,16 GB,5200 MHz,DDR5,894.55 RON
Kingston,Citizen,64 GB,5200 MHz,DDR5,1377.51 RON
Corsair,Face,4 GB,5200 MHz,DDR5,632.19 RON
Crucial,Buy,8 GB,2133 MHz,DDR4,400.76 RON
G.Skill,Little,32 GB,6000 MHz,DDR5,1271.91 RON
Corsair,Item,16 GB,3200 MHz,DDR4,493.2 RON
Kingston,Hear,16 GB,2400 MHz,DDR4,934.45 RON
Crucial,What,4 GB,3600 MHz,DDR4,834.09 RON
Kingston,Training,8 GB,3200 MHz,DDR4,659.76 RON
ADATA,Moment,8 GB,3000 MHz,DDR4,830.08 RON
ADATA,Thought,64 GB,2133 MHz,DDR4,1320.87 RON
HyperX,Buy,4 GB,5600 MHz,DDR5,999.77 RON
Kingston,Old,16 GB,2133 MHz,DDR4,199.02 RON
Crucial,Step,4 GB,3200 MHz,DDR4,253.28 RON
ADATA,Training,32 GB,2666 MHz,DDR4,412.15 RON
ADATA,Various,4 GB,3200 MHz,DDR4,1468.32 RON
Corsair,Cold,4 GB,3600 MHz,DDR4,647.96 RON
Kingston,Cost,8 GB,5600 MHz,DDR5,1024.85 RON
Patriot,Only,64 GB,3000 MHz,DDR4,800.94 RON
Crucial,Party,16 GB,3000 MHz,DDR4,1022.63 RON
ADATA,Able,16 GB,5600 MHz,DDR5,866.21 RON
Crucial,Large,16 GB,5200 MHz,DDR5,493.2 RON
HyperX,Enough,4 GB,2133 MHz,DDR4,913.62 RON
Crucial,Building,64 GB,2666 MHz,DDR4,1344.88 RON
Kingston,Service,16 GB,2133 MHz,DDR4,338.48 RON
HyperX,Apply,8 GB,3600 MHz,DDR4,503.13 RON
Patriot,Enter,4 GB,3200 MHz,DDR4,1049.47 RON
ADATA,Agree,4 GB,2666 MHz,DDR4,697.73 RON
Corsair,Pm,16 GB,5600 MHz,DDR5,156.45 RON
G.Skill,Consumer,8 GB,3600 MHz,DDR4,1417.18 RON
ADATA,Ten,64 GB,3000 MHz,DDR4,647.31 RON
G.Skill,Network,4 GB,3200 MHz,DDR4,520.11 RON
ADATA,Too,16 GB,2666 MHz,DDR4,478.69 RON
Corsair,Property,32 GB,5200 MHz,DDR5,444.66 RON
HyperX,Beautiful,4 GB,3000 MHz,DDR4,1420.43 RON
Corsair,Image,32 GB,3200 MHz,DDR4,1292.31 RON
Crucial,Community,4 GB,5600 MHz,DDR5,1478.65 RON
Patriot,Create,64 GB,6000 MHz,DDR5,745.06 RON
Crucial,Quality,8 GB,5600 MHz,DDR5,1036.11 RON
Crucial,Customer,16 GB,3000 MHz,DDR4,113.39 RON
ADATA,North,4 GB,6000 MHz,DDR5,1400.42 RON
G.Skill,Wrong,8 GB,3000 MHz,DDR4,1321.82 RON
G.Skill,Quickly,64 GB,2666 MHz,DDR4,1198.75 RON
Kingston,Stop,16 GB,2400 MHz,DDR4,1193.31 RON
HyperX,Wait,16 GB,6000 MHz,DDR5,920.59 RON
G.Skill,Rather,8 GB,6000 MHz,DDR5,162.49 RON
G.Skill,Last,32 GB,2400 MHz,DDR4,972.86 RON
Crucial,Rule,32 GB,2133 MHz,DDR4,1213.3 RON
Kingston,Each,64 GB,3600 MHz,DDR4,1327.57 RON
Crucial,Poor,64 GB,6000 MHz,DDR5,459.68 RON
Corsair,Herself,16 GB,3600 MHz,DDR4,856.48 RON
G.Skill,Hand,4 GB,2400 MHz,DDR4,274.21 RON
HyperX,Card,32 GB,3000 MHz,DDR4,405.74 RON
ADATA,Record,16 GB,5600 MHz,DDR5,132.33 RON
ADATA,Specific,32 GB,3200 MHz,DDR4,1397.69 RON
Kingston,Expert,64 GB,3200 MHz,DDR4,394.46 RON
ADATA,Especially,64 GB,2666 MHz,DDR4,222.5 RON
Corsair,Break,32 GB,3600 MHz,DDR4,512.28 RON
Crucial,Different,8 GB,5600 MHz,DDR5,1046.26 RON
ADATA,Modern,32 GB,6000 MHz,DDR5,600.51 RON
Crucial,Matter,8 GB,5600 MHz,DDR5,972.54 RON
Crucial,Support,4 GB,2400 MHz,DDR4,1251.41 RON
Crucial,Entire,32 GB,3600 MHz,DDR4,102.58 RON
ADATA,Door,32 GB,2666 MHz,DDR4,205.79 RON
Kingston,The,16 GB,5600 MHz,DDR5,620.83 RON
HyperX,Property,4 GB,2133 MHz,DDR4,157.93 RON
Crucial,Soldier,4 GB,3200 MHz,DDR4,1221.64 RON
G.Skill,Conference,4 GB,5200 MHz,DDR5,729.85 RON
Crucial,Dinner,64 GB,2133 MHz,DDR4,645.67 RON
ADATA,Everything,16 GB,3200 MHz,DDR4,188.16 RON
Patriot,General,4 GB,2400 MHz,DDR4,646.1 RON
Patriot,Born,16 GB,3000 MHz,DDR4,1385.37 RON
HyperX,Growth,4 GB,6000 MHz,DDR5,276.86 RON
G.Skill,Trip,32 GB,3000 MHz,DDR4,259.33 RON
Crucial,Individual,4 GB,6000 MHz,DDR5,319.58 RON
Crucial,Either,8 GB,2400 MHz,DDR4,1136.95 RON
G.Skill,Worker,64 GB,3200 MHz,DDR4,1432.81 RON
Kingston,Order,8 GB,2666 MHz,DDR4,1219.32 RON
HyperX,Bar,8 GB,5600 MHz,DDR5,894.36 RON
G.Skill,World,16 GB,2666 MHz,DDR4,844.98 RON
Corsair,Risk,4 GB,3600 MHz,DDR4,480.63 RON
ADATA,It,16 GB,2133 MHz,DDR4,549.9 RON
HyperX,Then,16 GB,2666 MHz,DDR4,754.37 RON
HyperX,Report,8 GB,6000 MHz,DDR5,1317.65 RON
Kingston,Cause,64 GB,2133 MHz,DDR4,452.89 RON
G.Skill,Center,16 GB,3200 MHz,DDR4,738.93 RON
Kingston,When,8 GB,5200 MHz,DDR5,341.02 RON
Crucial,Production,16 GB,3200 MHz,DDR4,1157.53 RON
ADATA,Generation,16 GB,2666 MHz,DDR4,222.14 RON
G.Skill,Material,32 GB,5200 MHz,DDR5,1301.28 RON
Corsair,No,16 GB,3000 MHz,DDR4,1249.92 RON
Crucial,Race,8 GB,3600 MHz,DDR4,911.75 RON
G.Skill,Boy,8 GB,5200 MHz,DDR5,248.36 RON
Patriot,Job,4 GB,6000 MHz,DDR5,1178.48 RON
G.Skill,Price,8 GB,3200 MHz,DDR4,1232.19 RON
HyperX,Generation,64 GB,2400 MHz,DDR4,443.01 RON
Kingston,Remember,4 GB,5600 MHz,DDR5,1470.88 RON
G.Skill,Over,16 GB,6000 MHz,DDR5,544.8 RON
Crucial,Your,64 GB,5600 MHz,DDR5,1379.92 RON
HyperX,Computer,8 GB,3600 MHz,DDR4,713.47 RON
Crucial,Change,4 GB,5200 MHz,DDR5,779.56 RON
ADATA,Have,64 GB,5600 MHz,DDR5,295.65 RON
Corsair,Against,4 GB,2400 MHz,DDR4,459.15 RON
ADATA,Detail,16 GB,6000 MHz,DDR5,1037.29 RON
HyperX,First,64 GB,2666 MHz,DDR4,444.7 RON
HyperX,Conference,16 GB,2666 MHz,DDR4,1303.36 RON
HyperX,Price,16 GB,6000 MHz,DDR5,1164.29 RON
Patriot,Arm,8 GB,2400 MHz,DDR4,387.83 RON
HyperX,Six,16 GB,3200 MHz,DDR4,1005.81 RON
Corsair,Alone,4 GB,3600 MHz,DDR4,1274.24 RON
ADATA,Involve,8 GB,3600 MHz,DDR4,537.15 RON
Kingston,Chance,8 GB,2666 MHz,DDR4,1446.64 RON
Crucial,Impact,8 GB,3000 MHz,DDR4,182.95 RON
Corsair,Within,8 GB,3200 MHz,DDR4,1435.65 RON
Kingston,Head,4 GB,3000 MHz,DDR4,170.56 RON
Crucial,Only,4 GB,5600 MHz,DDR5,423.65 RON
Kingston,Mouth,8 GB,5600 MHz,DDR5,469.06 RON
ADATA,Develop,8 GB,2133 MHz,DDR4,429.5 RON
Kingston,Certainly,4 GB,5200 MHz,DDR5,663.53 RON
G.Skill,Technology,64 GB,3000 MHz,DDR4,1382.62 RON
Corsair,Collection,8 GB,2666 MHz,DDR4,453.79 RON
ADATA,Under,16 GB,5600 MHz,DDR5,1031.07 RON
Kingston,Accept,32 GB,2666 MHz,DDR4,237.01 RON
Corsair,Their,32 GB,3600 MHz,DDR4,1201.59 RON
Crucial,Three,16 GB,3600 MHz,DDR4,995.74 RON
Crucial,Soon,32 GB,3600 MHz,DDR4,287.65 RON
Crucial,Save,16 GB,6000 MHz,DDR5,1144.92 RON
Crucial,Expect,4 GB,2666 MHz,DDR4,687.21 RON
Kingston,Compare,32 GB,3200 MHz,DDR4,1325.87 RON
Crucial,Moment,16 GB,6000 MHz,DDR5,629.89 RON
Crucial,Later,16 GB,5200 MHz,DDR5,392.35 RON
HyperX,Time,32 GB,2400 MHz,DDR4,486.73 RON
Corsair,Wonder,32 GB,3600 MHz,DDR4,1481.58 RON
Crucial,Business,8 GB,5600 MHz,DDR5,337.83 RON
Patriot,Protect,16 GB,5200 MHz,DDR5,864.63 RON
G.Skill,Church,64 GB,3600 MHz,DDR4,1492.14 RON
Crucial,Reach,32 GB,2400 MHz,DDR4,247.4 RON
Patriot,Research,64 GB,6000 MHz,DDR5,1274.8 RON
ADATA,Realize,64 GB,3200 MHz,DDR4,1482.25 RON
Corsair,Able,4 GB,5600 MHz,DDR5,1381.96 RON
Patriot,All,8 GB,3600 MHz,DDR4,894.1 RON
HyperX,Trouble,8 GB,3600 MHz,DDR4,1477.97 RON
Kingston,Out,4 GB,3000 MHz,DDR4,99.1 RON
Patriot,Yeah,4 GB,2133 MHz,DDR4,927.36 RON
Patriot,Figure,32 GB,3200 MHz,DDR4,967.4 RON
Crucial,Through,64 GB,2400 MHz,DDR4,207.56 RON
Crucial,Expect,64 GB,3600 MHz,DDR4,437.42 RON
HyperX,Happy,8 GB,2133 MHz,DDR4,1383.1 RON
Patriot,Become,8 GB,3600 MHz,DDR4,104.35 RON
Crucial,Bank,16 GB,3600 MHz,DDR4,517.65 RON
Corsair,Wait,8 GB,3000 MHz,DDR4,464.84 RON
Kingston,Dream,64 GB,6000 MHz,DDR5,251.49 RON
ADATA,Throughout,32 GB,2400 MHz,DDR4,1080.42 RON
Crucial,Agent,4 GB,5200 MHz,DDR5,897.92 RON
G.Skill,Table,8 GB,3000 MHz,DDR4,366.58 RON
ADATA,Or,32 GB,5200 MHz,DDR5,908.4 RON
Patriot,Great,4 GB,6000 MHz,DDR5,1329.69 RON
Corsair,Thought,64 GB,3000 MHz,DDR4,205.6 RON
Kingston,Just,8 GB,2133 MHz,DDR4,753.6 RON
HyperX,Catch,8 GB,5200 MHz,DDR5,1485.15 RON
Corsair,On,64 GB,2400 MHz,DDR4,634.9 RON
G.Skill,Military,16 GB,5600 MHz,DDR5,131.26 RON
Corsair,Nice,32 GB,3600 MHz,DDR4,943.79 RON
HyperX,Anything,16 GB,3600 MHz,DDR4,861.75 RON
Corsair,It,8 GB,2133 MHz,DDR4,820.99 RON
Corsair,Even,4 GB,6000 MHz,DDR5,1447.78 RON
G.Skill,Show,32 GB,3200 MHz,DDR4,1464.81 RON
Crucial,They,32 GB,3200 MHz,DDR4,401.31 RON
ADATA,Drop,4 GB,2400 MHz,DDR4,748.01 RON
HyperX,Final,32 GB,2400 MHz,DDR4,808.03 RON
Patriot,Beat,64 GB,6000 MHz,DDR5,1279.48 RON
Patriot,More,4 GB,3200 MHz,DDR4,374.05 RON
G.Skill,State,32 GB,5200 MHz,DDR5,1398.37 RON
Patriot,Commercial,4 GB,2133 MHz,DDR4,996.87 RON
ADATA,Top,8 GB,2133 MHz,DDR4,1201.95 RON
Corsair,Real,32 GB,3600 MHz,DDR4,686.7 RON
Corsair,Manage,8 GB,3600 MHz,DDR4,860.25 RON
G.Skill,Again,4 GB,2666 MHz,DDR4,1002.71 RON
G.Skill,Music,64 GB,5600 MHz,DDR5,134.14 RON
Corsair,Experience,16 GB,3200 MHz,DDR4,93.07 RON
Corsair,Anything,32 GB,3600 MHz,DDR4,677.99 RON
Corsair,Tax,8 GB,6000 MHz,DDR5,1386.65 RON
Patriot,Position,8 GB,3200 MHz,DDR4,1313.27 RON
Kingston,Against,16 GB,5200 MHz,DDR5,1242.74 RON
G.Skill,Green,4 GB,5200 MHz,DDR5,572.58 RON
Kingston,Run,16 GB,5600 MHz,DDR5,363.52 RON
ADATA,Future,16 GB,3000 MHz,DDR4,1074.81 RON
Patriot,East,16 GB,3200 MHz,DDR4,621.33 RON
Crucial,Role,32 GB,2666 MHz,DDR4,1396.87 RON
Patriot,Either,32 GB,3600 MHz,DDR4,1001.85 RON
Patriot,Check,16 GB,3200 MHz,DDR4,1125.56 RON
HyperX,Plant,64 GB,3000 MHz,DDR4,909.65 RON
Corsair,Low,4 GB,5600 MHz,DDR5,1083.61 RON
Patriot,Need,16 GB,3200 MHz,DDR4,762.45 RON
Corsair,Interesting,8 GB,3200 MHz,DDR4,286.79 RON
Corsair,Sister,32 GB,5200 MHz,DDR5,141.36 RON
ADATA,Research,64 GB,3000 MHz,DDR4,504.71 RON
ADATA,Several,64 GB,3000 MHz,DDR4,754.02 RON
Corsair,Major,8 GB,2666 MHz,DDR4,557.23 RON
Crucial,Blood,64 GB,3000 MHz,DDR4,1413.94 RON
ADATA,Pull,32 GB,2400 MHz,DDR4,325.06 RON
HyperX,Rock,16 GB,5600 MHz,DDR5,819.49 RON
G.Skill,Reason,4 GB,2666 MHz,DDR4,1092.27 RON
Patriot,Collection,4 GB,2400 MHz,DDR4,1243.09 RON
Kingston,Democratic,32 GB,3200 MHz,DDR4,790.59 RON
G.Skill,Dog,8 GB,2133 MHz,DDR4,1156.47 RON
Kingston,Meet,16 GB,3000 MHz,DDR4,1451.88 RON
Kingston,Him,64 GB,3000 MHz,DDR4,1295.24 RON
Crucial,President,4 GB,3600 MHz,DDR4,225.0 RON
Corsair,Reveal,8 GB,3600 MHz,DDR4,876.71 RON
Patriot,Around,64 GB,3600 MHz,DDR4,567.57 RON
Corsair,So,64 GB,6000 MHz,DDR5,454.55 RON
Corsair,Back,8 GB,3000 MHz,DDR4,456.13 RON
HyperX,Add,4 GB,2133 MHz,DDR4,1076.32 RON
ADATA,Option,4 GB,2666 MHz,DDR4,318.67 RON
Corsair,Wind,8 GB,6000 MHz,DDR5,335.79 RON
HyperX,Meeting,64 GB,6000 MHz,DDR5,955.17 RON
Corsair,He,16 GB,2666 MHz,DDR4,1150.51 RON
HyperX,Kind,32 GB,2400 MHz,DDR4,844.74 RON
Patriot,Your,4 GB,3200 MHz,DDR4,236.48 RON
ADATA,Every,4 GB,3000 MHz,DDR4,603.11 RON
Patriot,Help,8 GB,3600 MHz,DDR4,610.28 RON
Patriot,Mind,16 GB,6000 MHz,DDR5,898.55 RON
Corsair,Start,16 GB,5600 MHz,DDR5,369.39 RON
Kingston,Television,32 GB,3000 MHz,DDR4,1272.94 RON
ADATA,Need,64 GB,3600 MHz,DDR4,225.03 RON
Patriot,Watch,16 GB,3000 MHz,DDR4,474.21 RON
Patriot,Knowledge,8 GB,3000 MHz,DDR4,641.55 RON
Kingston,Outside,4 GB,3000 MHz,DDR4,833.81 RON
Crucial,Education,64 GB,5600 MHz,DDR5,603.19 RON
G.Skill,Federal,4 GB,3200 MHz,DDR4,339.68 RON
ADATA,No,4 GB,3600 MHz,DDR4,130.91 RON
ADATA,Future,4 GB,3200 MHz,DDR4,1431.97 RON
Kingston,Need,64 GB,3200 MHz,DDR4,428.77 RON
HyperX,Event,4 GB,6000 MHz,DDR5,1341.13 RON
Corsair,Crime,8 GB,3000 MHz,DDR4,697.5 RON
ADATA,Start,16 GB,3000 MHz,DDR4,301.33 RON
ADATA,Nice,4 GB,2400 MHz,DDR4,159.3 RON
Crucial,Either,8 GB,3200 MHz,DDR4,641.09 RON
HyperX,Everyone,64 GB,3200 MHz,DDR4,1418.97 RON
Corsair,Rock,32 GB,5200 MHz,DDR5,649.85 RON
ADATA,Painting,16 GB,2400 MHz,DDR4,243.5 RON
Crucial,Police,16 GB,5200 MHz,DDR5,376.02 RON
G.Skill,Onto,8 GB,2666 MHz,DDR4,825.53 RON
Patriot,Speak,16 GB,5200 MHz,DDR5,1045.16 RON
Patriot,Job,8 GB,6000 MHz,DDR5,1105.01 RON
Kingston,Produce,8 GB,5200 MHz,DDR5,584.35 RON
G.Skill,Nearly,32 GB,2400 MHz,DDR4,630.27 RON
HyperX,Front,8 GB,3600 MHz,DDR4,94.67 RON
Crucial,Course,16 GB,3200 MHz,DDR4,1230.78 RON
G.Skill,Message,8 GB,2666 MHz,DDR4,129.19 RON
Kingston,Identify,8 GB,5200 MHz,DDR5,1489.18 RON
HyperX,Nor,4 GB,3200 MHz,DDR4,327.44 RON
G.Skill,Tv,4 GB,5200 MHz,DDR5,508.97 RON
ADATA,Politics,32 GB,3600 MHz,DDR4,1028.02 RON
Corsair,Piece,4 GB,5200 MHz,DDR5,961.48 RON
HyperX,Pick,32 GB,3000 MHz,DDR4,1180.29 RON
ADATA,Home,32 GB,3600 MHz,DDR4,1175.52 RON
Crucial,Toward,64 GB,6000 MHz,DDR5,848.88 RON
Kingston,Lead,4 GB,6000 MHz,DDR5,627.93 RON
G.Skill,Through,4 GB,3600 MHz,DDR4,1258.32 RON
ADATA,While,16 GB,6000 MHz,DDR5,556.12 RON
Crucial,Space,8 GB,3200 MHz,DDR4,1435.41 RON
HyperX,Station,64 GB,6000 MHz,DDR5,937.9 RON
HyperX,Toward,16 GB,2133 MHz,DDR4,1435.54 RON
Kingston,Movie,32 GB,2400 MHz,DDR4,1498.77 RON
ADATA,Operation,4 GB,5200 MHz,DDR5,1233.02 RON
ADATA,From,32 GB,2666 MHz,DDR4,1206.54 RON
Crucial,Draw,32 GB,6000 MHz,DDR5,918.84 RON
HyperX,Knowledge,8 GB,2666 MHz,DDR4,649.16 RON
Crucial,Send,16 GB,5200 MHz,DDR5,782.6 RON
G.Skill,Partner,16 GB,3000 MHz,DDR4,445.62 RON
G.Skill,Create,32 GB,2133 MHz,DDR4,1092.3 RON
Kingston,Chair,64 GB,5200 MHz,DDR5,434.2 RON
Patriot,Might,32 GB,6000 MHz,DDR5,659.54 RON
Kingston,Song,32 GB,6000 MHz,DDR5,352.56 RON
G.Skill,Past,16 GB,2666 MHz,DDR4,381.29 RON
Patriot,Best,4 GB,3600 MHz,DDR4,748.54 RON
Crucial,Care,4 GB,5600 MHz,DDR5,1316.7 RON
Kingston,Mouth,4 GB,5600 MHz,DDR5,897.24 RON
ADATA,City,4 GB,2400 MHz,DDR4,826.21 RON
Corsair,Hot,64 GB,5200 MHz,DDR5,910.19 RON
ADATA,Around,32 GB,2133 MHz,DDR4,439.58 RON
HyperX,Television,32 GB,2133 MHz,DDR4,190.67 RON
Patriot,Mr,32 GB,5600 MHz,DDR5,1451.2 RON
G.Skill,Because,64 GB,6000 MHz,DDR5,411.38 RON
G.Skill,Boy,4 GB,6000 MHz,DDR5,193.14 RON
Kingston,Color,4 GB,3200 MHz,DDR4,961.33 RON
Corsair,Couple,16 GB,3600 MHz,DDR4,449.66 RON
ADATA,Hear,16 GB,3000 MHz,DDR4,679.57 RON
HyperX,Garden,32 GB,5600 MHz,DDR5,290.7 RON
Crucial,Word,16 GB,2133 MHz,DDR4,789.64 RON
HyperX,Less,4 GB,2133 MHz,DDR4,1097.66 RON
G.Skill,Behind,8 GB,5200 MHz,DDR5,661.24 RON
HyperX,Quite,4 GB,3200 MHz,DDR4,144.9 RON
Kingston,Since,4 GB,2133 MHz,DDR4,1478.72 RON
Corsair,Cut,8 GB,5600 MHz,DDR5,1426.59 RON
HyperX,Conference,64 GB,5200 MHz,DDR5,106.39 RON
Patriot,Ahead,32 GB,3000 MHz,DDR4,854.63 RON
Crucial,Impact,32 GB,3200 MHz,DDR4,536.4 RON
Patriot,Option,4 GB,2400 MHz,DDR4,90.97 RON
Kingston,Tend,16 GB,3600 MHz,DDR4,1316.71 RON
Patriot,Today,16 GB,3600 MHz,DDR4,347.61 RON
G.Skill,Partner,16 GB,2666 MHz,DDR4,690.08 RON
Patriot,Move,8 GB,2133 MHz,DDR4,752.65 RON
G.Skill,Case,32 GB,6000 MHz,DDR5,862.41 RON
HyperX,Mean,64 GB,5200 MHz,DDR5,122.47 RON
ADATA,Them,8 GB,3600 MHz,DDR4,838.29 RON
ADATA,Chair,8 GB,3200 MHz,DDR4,565.52 RON
G.Skill,Player,16 GB,2133 MHz,DDR4,1052.85 RON
Crucial,Even,32 GB,2400 MHz,DDR4,151.77 RON
G.Skill,Report,32 GB,5600 MHz,DDR5,906.81 RON
Crucial,Remember,64 GB,5600 MHz,DDR5,1236.17 RON
HyperX,Scientist,4 GB,3600 MHz,DDR4,531.29 RON
Kingston,Any,8 GB,5200 MHz,DDR5,985.79 RON
Crucial,Have,8 GB,3000 MHz,DDR4,1160.37 RON
Corsair,Cost,32 GB,3600 MHz,DDR4,1395.86 RON
Corsair,Collection,64 GB,2133 MHz,DDR4,1094.39 RON
Kingston,Position,16 GB,2400 MHz,DDR4,220.01 RON
Kingston,Significant,4 GB,2133 MHz,DDR4,1055.38 RON
ADATA,Deep,4 GB,6000 MHz,DDR5,112.54 RON
Kingston,Though,8 GB,3600 MHz,DDR4,494.86 RON
G.Skill,None,16 GB,3200 MHz,DDR4,545.59 RON
Patriot,Total,16 GB,2133 MHz,DDR4,1221.07 RON
G.Skill,Table,32 GB,3600 MHz,DDR4,122.38 RON
G.Skill,Small,64 GB,3600 MHz,DDR4,1139.11 RON
