Manufacturer, Model, Capacity_GB, Write Speed (MB/s), Read Speed (MB/s), Price
Corsair,Record,512 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,856.47 RON
ADATA,Western,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1051.94 RON
ADATA,Itself,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,205.37 RON
Western Digital,Process,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,425.26 RON
ADATA,Fill,128 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1049.56 RON
ADATA,Need,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1096.88 RON
Crucial,Ten,2000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,262.7 RON
Seagate,Tonight,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1276.83 RON
Samsung,Light,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1315.47 RON
Seagate,According,500 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,820.11 RON
Crucial,Avoid,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1414.29 RON
Corsair,Will,2000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1102.1 RON
Seagate,Catch,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,221.52 RON
Western Digital,Even,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,624.99 RON
Western Digital,Summer,2000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,868.85 RON
Seagate,Manage,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1341.6 RON
Crucial,Event,120 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,327.32 RON
Seagate,Way,500 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1120.93 RON
Western Digital,Security,256 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1434.08 RON
ADATA,Action,120 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,475.1 RON
Corsair,Someone,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,800.2 RON
Western Digital,West,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,153.73 RON
Samsung,Huge,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1291.52 RON
Western Digital,Feeling,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,648.49 RON
Western Digital,East,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,272.89 RON
ADATA,Painting,1000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1160.17 RON
Samsung,Lay,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,299.25 RON
Samsung,Cup,240 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,91.52 RON
Western Digital,Protect,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1059.8 RON
Western Digital,Hard,256 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,671.85 RON
Corsair,Challenge,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,305.95 RON
Western Digital,Along,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1217.16 RON
Corsair,Understand,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1163.0 RON
Samsung,Shoulder,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1014.3 RON
Samsung,Radio,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,474.14 RON
Samsung,Wind,2000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,470.57 RON
Samsung,Attack,128 GB,Over 5000 MB/s,Over 5000 MB/s,762.67 RON
ADATA,Personal,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,975.39 RON
ADATA,Argue,128 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,947.98 RON
Crucial,Morning,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,927.45 RON
Corsair,Executive,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,647.71 RON
Crucial,Consider,240 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,774.39 RON
Samsung,Summer,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,94.9 RON
Western Digital,Sometimes,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,284.61 RON
ADATA,Look,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,363.61 RON
Samsung,Arrive,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1356.98 RON
Corsair,Seven,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,319.07 RON
Seagate,Sing,1000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1250.96 RON
Western Digital,Best,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1362.25 RON
ADATA,Quite,128 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,598.33 RON
Western Digital,Him,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1355.02 RON
Samsung,Weight,512 GB,Over 5000 MB/s,Over 5000 MB/s,411.02 RON
Seagate,Movie,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,286.37 RON
Seagate,Prove,1000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,823.24 RON
ADATA,Join,120 GB,Over 5000 MB/s,Over 5000 MB/s,1450.76 RON
ADATA,Activity,128 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,573.12 RON
Samsung,On,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,133.55 RON
ADATA,Attention,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,967.21 RON
ADATA,Set,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1290.32 RON
Seagate,Particularly,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1428.45 RON
Western Digital,Fill,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,782.23 RON
Seagate,Paper,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1396.46 RON
ADATA,Another,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,291.11 RON
Crucial,Someone,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1393.37 RON
Crucial,Music,256 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1499.96 RON
Samsung,High,128 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,274.94 RON
Seagate,Their,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,182.82 RON
ADATA,He,512 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,642.26 RON
Corsair,Campaign,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,496.18 RON
Samsung,Pay,512 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,307.83 RON
Crucial,Method,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,74.19 RON
Western Digital,Member,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1441.27 RON
Samsung,Factor,120 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,256.9 RON
Seagate,Occur,256 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,763.57 RON
Western Digital,Million,120 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,817.52 RON
ADATA,Energy,2000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,188.41 RON
ADATA,Paper,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1297.68 RON
Seagate,Education,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1238.47 RON
Corsair,Share,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1459.38 RON
Corsair,They,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1252.09 RON
Seagate,Event,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,172.8 RON
ADATA,Court,120 GB,Over 5000 MB/s,Over 5000 MB/s,200.07 RON
Crucial,Listen,2000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1231.9 RON
Crucial,Civil,1000 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,391.66 RON
Crucial,Week,2000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,75.82 RON
Samsung,Fear,512 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1396.58 RON
Crucial,Military,240 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,809.96 RON
Crucial,Site,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,134.61 RON
Seagate,Like,500 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,262.81 RON
Seagate,Foot,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1001.39 RON
Western Digital,Administration,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,110.62 RON
Crucial,Service,128 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,962.27 RON
Corsair,Race,512 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,924.7 RON
Seagate,Bring,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,719.44 RON
Crucial,Ball,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,498.0 RON
ADATA,Miss,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,940.82 RON
ADATA,Oil,1000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,506.87 RON
Crucial,Same,512 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1465.72 RON
ADATA,Important,500 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,270.8 RON
Western Digital,Three,256 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1057.65 RON
Western Digital,Total,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1090.8 RON
ADATA,Around,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1090.0 RON
Seagate,Project,1000 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,342.71 RON
ADATA,Carry,2000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,262.22 RON
Seagate,Wait,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,445.81 RON
Western Digital,Certainly,500 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,505.01 RON
Samsung,Magazine,240 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1323.04 RON
Seagate,Professor,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,595.43 RON
Samsung,Join,512 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,952.8 RON
Seagate,Baby,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,550.75 RON
Corsair,You,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,965.7 RON
Corsair,Drop,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,775.87 RON
Samsung,Avoid,256 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1432.5 RON
Seagate,Throughout,1000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,119.8 RON
ADATA,Ability,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,176.74 RON
Crucial,Far,120 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,423.94 RON
Crucial,Will,512 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1025.67 RON
Corsair,Get,512 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,857.21 RON
ADATA,Through,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1277.25 RON
Western Digital,Line,256 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1204.81 RON
Seagate,Mother,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1317.77 RON
Crucial,Become,120 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,973.11 RON
Western Digital,Worker,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,692.42 RON
Samsung,Bank,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1160.67 RON
ADATA,Yard,2000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,485.94 RON
Crucial,Great,500 GB,Over 5000 MB/s,Over 5000 MB/s,1146.42 RON
Western Digital,About,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,869.42 RON
Western Digital,I,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,906.5 RON
Corsair,Ability,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1134.57 RON
Western Digital,Represent,500 GB,Over 5000 MB/s,Over 5000 MB/s,1392.23 RON
Crucial,Number,128 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,436.5 RON
Corsair,Window,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1173.54 RON
ADATA,Turn,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,900.87 RON
Samsung,Agency,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,970.38 RON
Samsung,Bag,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,281.42 RON
Crucial,Majority,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,426.39 RON
Crucial,Fall,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,132.07 RON
Western Digital,Yourself,128 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1330.89 RON
Seagate,Raise,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1418.01 RON
Corsair,Four,512 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,230.66 RON
Corsair,Thank,256 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,258.7 RON
Samsung,Economic,256 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,119.98 RON
Corsair,Start,1000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1243.34 RON
Samsung,Suddenly,240 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,155.63 RON
Crucial,Service,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,960.85 RON
Samsung,Way,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,443.31 RON
Samsung,Learn,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,751.09 RON
Samsung,Someone,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,590.41 RON
Corsair,Determine,120 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1250.52 RON
Western Digital,Business,256 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,592.59 RON
Western Digital,Radio,2000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1061.91 RON
Crucial,Note,240 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1181.34 RON
ADATA,Understand,2000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,335.58 RON
Corsair,Physical,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,551.73 RON
Crucial,Past,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1069.29 RON
Samsung,Development,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1417.09 RON
ADATA,Century,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,804.9 RON
Western Digital,Trouble,500 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,191.31 RON
ADATA,During,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1301.82 RON
Seagate,Different,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1086.68 RON
Samsung,Past,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,462.61 RON
Seagate,Yard,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,995.76 RON
ADATA,Fact,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,467.54 RON
Corsair,Who,256 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1381.47 RON
Samsung,Tree,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,361.88 RON
Crucial,Focus,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,618.6 RON
Corsair,Affect,256 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,731.15 RON
Samsung,None,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,629.79 RON
Crucial,Lawyer,512 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,718.28 RON
Crucial,Today,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,432.64 RON
Crucial,Compare,120 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,775.75 RON
Crucial,Success,2000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1068.8 RON
Corsair,Sport,2000 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,747.14 RON
ADATA,Top,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1320.15 RON
ADATA,Their,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,575.51 RON
Corsair,Like,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,879.63 RON
Samsung,Mouth,128 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,222.1 RON
ADATA,Security,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,852.29 RON
Western Digital,Per,1000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,703.15 RON
Crucial,Try,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1243.94 RON
Samsung,Away,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,941.22 RON
Crucial,Four,500 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1421.89 RON
Seagate,Ability,500 GB,Over 5000 MB/s,Over 5000 MB/s,1435.94 RON
Crucial,Serve,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,862.2 RON
Seagate,Sure,500 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,813.87 RON
Western Digital,History,500 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,95.22 RON
Western Digital,Heart,256 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,789.41 RON
Seagate,Born,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,499.57 RON
Western Digital,Yeah,2000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,975.61 RON
Samsung,Candidate,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,813.75 RON
Corsair,Point,1000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,686.22 RON
Samsung,Less,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,785.43 RON
Seagate,Structure,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,260.63 RON
Crucial,Pretty,2000 GB,Over 5000 MB/s,Over 5000 MB/s,533.66 RON
ADATA,Whose,1000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1173.12 RON
Western Digital,Site,512 GB,Over 5000 MB/s,Over 5000 MB/s,653.02 RON
ADATA,Life,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,493.34 RON
ADATA,Authority,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,599.45 RON
ADATA,Benefit,240 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,719.51 RON
Crucial,Hundred,120 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,594.14 RON
ADATA,Together,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,185.92 RON
Corsair,Ahead,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,266.8 RON
Corsair,Hand,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1213.11 RON
ADATA,Whose,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,933.85 RON
Crucial,Their,1000 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1483.55 RON
Crucial,That,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,179.13 RON
Western Digital,Conference,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,634.97 RON
ADATA,Fund,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1150.98 RON
Seagate,Ok,128 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,890.34 RON
Samsung,So,240 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,333.87 RON
Western Digital,Address,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,924.45 RON
Crucial,Remember,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,953.03 RON
Western Digital,Bag,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,854.13 RON
Seagate,Nation,128 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1096.58 RON
ADATA,Baby,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1274.72 RON
Samsung,Teach,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,712.05 RON
ADATA,Medical,1000 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,692.46 RON
ADATA,Newspaper,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1092.39 RON
ADATA,Together,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1055.84 RON
Western Digital,Road,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1062.67 RON
Corsair,Huge,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,924.28 RON
Crucial,Already,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,683.93 RON
Seagate,Ok,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,678.86 RON
Western Digital,Defense,128 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,154.81 RON
Seagate,Near,128 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,715.07 RON
Western Digital,Act,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,625.46 RON
Crucial,Establish,2000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,955.51 RON
Crucial,Star,120 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,314.96 RON
Western Digital,Under,240 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1264.4 RON
Western Digital,Commercial,500 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,499.76 RON
ADATA,Pm,2000 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,706.85 RON
Crucial,Heavy,500 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,963.06 RON
Seagate,Real,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,746.37 RON
Western Digital,All,240 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,831.38 RON
Seagate,Quickly,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1482.76 RON
Seagate,Seven,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1195.83 RON
Samsung,Art,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,605.08 RON
Western Digital,Nice,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,857.44 RON
Crucial,Concern,2000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,250.67 RON
Crucial,House,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,600.77 RON
ADATA,Recently,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,597.39 RON
Corsair,Media,128 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,658.44 RON
Samsung,Discussion,500 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1031.7 RON
ADATA,Treatment,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1218.73 RON
Crucial,Country,128 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1434.06 RON
Corsair,Skin,500 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,210.43 RON
Western Digital,Pattern,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,614.41 RON
Western Digital,Church,256 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,913.99 RON
